expected_component,n_cases,new_independent_detected,new_independent_rate,archived_full_ECRC_detected,archived_full_ECRC_rate,archived_typed_baseline_detected,archived_typed_baseline_rate
stateful_receipt_verification,60,60,1.0,60,1.0,0,0.0
trusted_permit_claim_binding,24,24,1.0,24,1.0,0,0.0
