evidence_scenario,dataset_id,evaluation_scope,model_name,component_arm,reference_arm,metric,arm_value,reference_value,delta_arm_minus_full
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,abstain_rate,0.23266441187523487,0.23266441187523487,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,no_action_rate,0.6772040586245772,0.6772040586245772,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,event_coverage_by_alert,0.1208248237696818,0.1208248237696818,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,alert_precision,0.7683284457478006,0.7683284457478006,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,false_alerts_per_100,1.662532882375047,1.662532882375047,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,event_coverage_by_human_review,0.023914618881349232,0.023914618881349232,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,non_event_human_reviews_per_100,0.7455843667794062,0.7455843667794062,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,auto_capacity_blocks_per_100,18.496805712138293,18.496805712138293,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,review_capacity_overflow_abstentions_per_100,7.509958662157084,7.509958662157084,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,alert_rate,0.05928598271326569,0.07176249530251785,-0.012476512589252163
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,human_review_rate,0.03252912438932732,0.01836903419767005,0.01416009019165727
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,abstain_rate,0.2185043216835776,0.23266441187523487,-0.01416009019165726
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,no_action_rate,0.6896805712138294,0.6772040586245772,0.012476512589252198
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,event_coverage_by_alert,0.10132419790500033,0.1208248237696818,-0.019500625864681473
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,alert_precision,0.7799188640973631,0.7683284457478006,0.011590418349562537
