evidence_scenario,component_arm,dataset_id,evaluation_scope,model_name,n_participants,n_decisions,n_positive,n_alert,n_true_alerts,n_false_alerts,n_human_review,n_event_human_reviews,n_non_event_human_reviews,n_abstain,n_no_action,n_auto_capacity_blocks,n_review_capacity_overflow_abstentions,alert_rate,human_review_rate,abstain_rate,no_action_rate,event_coverage_by_alert,alert_precision,false_alerts_per_100,event_coverage_by_human_review,non_event_human_reviews_per_100,auto_capacity_blocks_per_100,review_capacity_overflow_abstentions_per_100,route_rate_sum,n_invalid_evidence,n_action_on_invalid_evidence,invalid_evidence_action_acceptance_rate,n_invalid_evidence_forced_abstain,n_direct_evidence_gate_blocks,direct_evidence_gate_blocks_per_100,participant_alerts_median,participant_alerts_q1,participant_alerts_q3,participant_alerts_p90,participant_reviews_median,participant_reviews_q1,participant_reviews_q3,participant_reviews_p90,route_agreement_with_full,prediction_scores_changed,predictive_metric_credit_applicable
clean,evidence_gate_off,mendeley_igt_official_v2,frozen_external_official_v2_same_task,history_baseline,59,11800,5793,396,178,218,80,37,43,5512,5812,4175,1366,0.0335593220338983,0.006779661016949152,0.46711864406779663,0.49254237288135594,0.030726739167961332,0.4494949494949495,1.847457627118644,0.006387018815812187,0.3644067796610169,35.38135593220339,11.576271186440678,1.0,0,0,0.0,0,0,0.0,8.0,7.0,8.0,8.0,2.0,0.0,2.0,2.0,1.0,False,False
clean,evidence_gate_off,mendeley_igt_official_v2,frozen_external_official_v2_same_task,regularised_logistic,59,11800,5793,462,233,229,118,65,53,2498,8722,2899,997,0.039152542372881356,0.01,0.21169491525423728,0.7391525423728813,0.04022095632660107,0.5043290043290043,1.9406779661016949,0.0112204384602106,0.4491525423728814,24.56779661016949,8.44915254237288,1.0,0,0,0.0,0,0,0.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,1.0,False,False
clean,full_controls,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,617,66525,30358,4774,3668,1106,1222,726,496,15478,45051,12305,4996,0.07176249530251785,0.01836903419767005,0.23266441187523487,0.6772040586245772,0.1208248237696818,0.7683284457478006,1.662532882375047,0.023914618881349232,0.7455843667794062,18.496805712138293,7.509958662157084,1.0,0,0,0.0,0,0,0.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,1.0,False,False
clean,full_controls,many_labs_igt,participant_grouped_outer_cv,history_baseline,617,66525,30358,4274,2687,1587,871,407,464,25359,36021,23419,5074,0.06424652386320932,0.013092822247275461,0.3811950394588501,0.5414656144306652,0.0885104420581066,0.6286850725315863,2.3855693348365277,0.01340668028196851,0.6974821495678316,35.2033070274333,7.627207816610297,1.0,0,0,0.0,0,0,0.0,8.0,8.0,8.0,8.0,2.0,1.0,2.0,2.0,1.0,False,False
clean,full_controls,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,617,66525,30358,4734,3252,1482,1223,737,486,11787,48781,14613,4753,0.07116121758737316,0.018384066140548667,0.1771815107102593,0.7332732055618189,0.1071216812701759,0.6869455006337135,2.2277339346110483,0.024276961591672707,0.7305524239007892,21.96617812852311,7.144682450206689,1.0,0,0,0.0,0,0,0.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,1.0,False,False
clean,full_controls,mendeley_igt_official_v2,frozen_external_official_v2_same_task,hist_gradient_boosting,59,11800,5793,466,312,154,118,61,57,3379,7837,2324,1097,0.039491525423728815,0.01,0.28635593220338984,0.6641525423728813,0.05385810460901087,0.6695278969957081,1.305084745762712,0.010529949939582254,0.4830508474576271,19.694915254237287,9.296610169491526,1.0,0,0,0.0,0,0,0.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,1.0,False,False
clean,full_controls,mendeley_igt_official_v2,frozen_external_official_v2_same_task,history_baseline,59,11800,5793,396,178,218,80,37,43,5512,5812,4175,1366,0.0335593220338983,0.006779661016949152,0.46711864406779663,0.49254237288135594,0.030726739167961332,0.4494949494949495,1.847457627118644,0.006387018815812187,0.3644067796610169,35.38135593220339,11.576271186440678,1.0,0,0,0.0,0,0,0.0,8.0,7.0,8.0,8.0,2.0,0.0,2.0,2.0,1.0,False,False
clean,full_controls,mendeley_igt_official_v2,frozen_external_official_v2_same_task,regularised_logistic,59,11800,5793,462,233,229,118,65,53,2498,8722,2899,997,0.039152542372881356,0.01,0.21169491525423728,0.7391525423728813,0.04022095632660107,0.5043290043290043,1.9406779661016949,0.0112204384602106,0.4491525423728814,24.56779661016949,8.44915254237288,1.0,0,0,0.0,0,0,0.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,1.0,False,False
clean,shared_capacity,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,617,66525,30358,3944,3076,868,2164,1306,858,14536,45881,13135,4054,0.05928598271326569,0.03252912438932732,0.2185043216835776,0.6896805712138294,0.10132419790500033,0.7799188640973631,1.304772641863961,0.043019961789314186,1.289740698985344,19.74445697106351,6.093949642991356,1.0,0,0,0.0,0,0,0.0,7.0,5.0,8.0,9.0,3.0,2.0,5.0,6.0,0.9691544532130778,False,False
clean,shared_capacity,many_labs_igt,participant_grouped_outer_cv,history_baseline,617,66525,30358,4673,2957,1716,1232,692,540,24998,35622,23020,4713,0.07024426907177753,0.01851935362645622,0.3757685080796693,0.535467869222097,0.09740430858422822,0.6327840787502675,2.579481397970688,0.02279465050398577,0.8117249154453213,34.60353250657648,7.084554678692221,0.9999999999999999,0,0,0.0,0,0,0.0,9.0,6.0,10.0,10.0,1.0,0.0,3.0,7.0,0.9727019917324314,False,False
