analysis,cohort,model_name,capacity_basis,n_participants,n_precision_common,n_coverage_common,precision_pooled_difference,precision_pooled_difference_ci_low,precision_pooled_difference_ci_high,precision_common_macro_difference,precision_common_macro_difference_ci_low,precision_common_macro_difference_ci_high,coverage_pooled_difference,coverage_pooled_difference_ci_low,coverage_pooled_difference_ci_high,coverage_common_macro_difference,coverage_common_macro_difference_ci_low,coverage_common_macro_difference_ci_high
capacity_removal,Development,hist_gradient_boosting,separate_8_2_vs_unbounded,617,614,615,0.021237688100785412,0.0073831246406681319,0.034150030745952291,-0.030484237194261212,-0.040478473183329346,-0.02093256601849176,0.32337439884050334,0.30118161305008634,0.34477149872585766,0.27349998134143544,0.25567813410929485,0.29074075468419391
capacity_removal,Development,history_baseline,separate_8_2_vs_unbounded,617,576,615,-0.048682905919084973,-0.068343122641018911,-0.0286691505757539,-0.10756029323803747,-0.12304260479845348,-0.092766875182201558,0.44057579550695042,0.41068214829573735,0.47076631146766063,0.3640546861510579,0.339136471914466,0.38970228571713716
capacity_removal,Development,regularised_logistic,separate_8_2_vs_unbounded,617,612,615,0.0094932237163148914,-0.0063551581190579905,0.024963718548321145,-0.034774543361177974,-0.046103524418067893,-0.023460140244620398,0.33671519862968574,0.31580200408104214,0.35768344796432011,0.27741547062208644,0.25980231878129989,0.29415421080526166
capacity_removal,External,hist_gradient_boosting,separate_8_2_vs_unbounded,59,59,59,0.10251511375698008,0.064085042056664543,0.14292008243828519,0.037273245857465491,0.00015293341302710062,0.079041709953496214,0.31796996374935266,0.25393411820455902,0.38122204183811403,0.285461489326224,0.22510123776508983,0.34448678926863729
capacity_removal,External,history_baseline,separate_8_2_vs_unbounded,59,54,59,0.12477763856018065,0.0746149636720706,0.17393101860766047,0.027269511630995186,-0.012548160287122452,0.07064032068768239,0.42240635249438979,0.31934901012453115,0.52314158960078994,0.35772962011061771,0.26469361960085841,0.45152800650944386
capacity_removal,External,regularised_logistic,separate_8_2_vs_unbounded,59,58,59,0.15440351575430422,0.10787013247109202,0.19917651756265195,0.090956993582234857,0.046944955412377067,0.13639121887264502,0.34196443984118768,0.28306534362557051,0.39919887968127504,0.30238946517324,0.24680452153303548,0.35813747768440174
online,Development,hist_gradient_boosting,eight_per_100_planned,617,614,615,-0.026591645773244355,-0.043858761364933815,-0.011215581940412602,-0.032525052761209108,-0.04990650309535867,-0.016315014383011129,-0.029217998550629162,-0.033200883336285202,-0.02541970599380447,-0.047843045300521449,-0.05410134299197588,-0.041767173374999106
online,Development,hist_gradient_boosting,eight_per_episode,617,614,615,-0.027723017772852798,-0.045410608191510396,-0.010526095327883088,-0.035367225065922145,-0.053206910183248732,-0.018083216827935903,-0.027340404506225713,-0.031165849560301582,-0.023790080016020339,-0.04568563720722213,-0.051729880295076885,-0.039763138737066751
online,Development,history_baseline,eight_per_100_planned,617,576,615,-0.043021491744220208,-0.064642865091623508,-0.021833950466764632,-0.041380822109988787,-0.06519738035674183,-0.017544435791171674,-0.031952039001251736,-0.036207719962942052,-0.027923083510364391,-0.050106537692831125,-0.05735405847650641,-0.043168742966356609
online,Development,history_baseline,eight_per_episode,617,576,615,-0.042626268435121184,-0.064263472599355193,-0.020255870448317302,-0.041538525132275135,-0.066019747451410232,-0.01689429364191691,-0.03007444495684828,-0.034133784708730117,-0.026092235873424116,-0.048312931855559023,-0.055403796172226752,-0.041613722672871577
