adjudication_latency.maximum_ms,adjudication_latency.mean_ms,adjudication_latency.p50_ms,adjudication_latency.p95_ms,adjudication_latency.p99_ms,capacity,capacity_rejections,case,end_to_end_latency.maximum_ms,end_to_end_latency.mean_ms,end_to_end_latency.p50_ms,end_to_end_latency.p95_ms,end_to_end_latency.p99_ms,execution_status_counts.executed,execution_status_counts.not_executed,invariant_violations,issued_permits,n_requests,oversubscription_count,receipt_count,repetition,reservation_counts.committed,reservation_counts.released,reservation_counts.reserved,route_counts.alert,route_counts.no_action,throughput_requests_per_second,wall_seconds,workers
9.8065,7.9636385416666675,7.86475,9.233875000000001,9.67825,96,0,single_thread,18.7503,15.527831249999998,15.49255,17.450475,18.492469999999997,96,,0,96,96,0,96,0,96,0,0,96,,64.39115480170207,1.490888,1
24.7244,8.377494791666665,8.225349999999999,9.6754,10.963934999999958,96,0,single_thread,40.7447,16.292576041666667,15.951,18.4691,19.75957999999994,96,,0,96,96,0,96,1,96,0,0,96,,61.369333948390434,1.5642992,1
22.0361,9.407671875,9.2137,10.392575,11.138649999999966,96,0,single_thread,31.0119,18.244835416666664,17.98605,19.5626,21.80535499999997,96,,0,96,96,0,96,2,96,0,0,96,,54.80285671307879,1.7517335,1
11.6436,7.007246875,6.78085,8.709150000000001,9.712344999999994,8,88,worker_sweep_96_cap8_w1,17.8019,14.043990625,13.69205,17.009125,17.575515,8,88,0,96,96,0,96,0,8,0,0,8,88,71.19481511893095,1.3484128,1
10.1941,7.047526041666667,6.7661999999999995,9.09765,9.431629999999998,8,88,worker_sweep_96_cap8_w1,19.1561,14.153848958333334,13.74065,17.65455,18.317059999999998,8,88,0,96,96,0,96,1,8,0,0,8,88,70.6417100297615,1.3589705,1
9.4726,7.110766666666667,6.9201,8.859125,9.28431,8,88,worker_sweep_96_cap8_w1,18.5973,14.255032291666666,13.907250000000001,17.6291,18.49546,8,88,0,96,96,0,96,2,8,0,0,8,88,70.14030691644798,1.3686852,1
83.4422,7.809070833333333,3.08045,33.66115,51.3584199999999,8,88,worker_sweep_96_cap8_w2,108.2013,13.825223958333334,6.2689,43.138149999999996,91.22698499999996,8,88,0,96,96,0,96,0,8,0,0,8,88,143.1656520546732,0.6705519,2
51.1901,7.4259625,2.9007,36.013675,49.429179999999995,8,88,worker_sweep_96_cap8_w2,66.7874,13.913226041666668,5.9902999999999995,51.548625,59.92136999999998,8,88,0,96,96,0,96,1,8,0,0,8,88,141.6239815428546,0.6778513,2
80.3745,8.816511458333332,3.1428000000000003,38.13755,65.66346499999996,8,88,worker_sweep_96_cap8_w2,92.7849,15.59324270833333,6.84515,57.74185,87.11558499999998,8,88,0,96,96,0,96,2,8,0,0,8,88,126.52752329490325,0.7587282,2
466.2922,14.355470833333333,3.01545,48.025875,173.4485249999991,8,88,worker_sweep_96_cap8_w4,482.2755,24.11471354166667,6.13535,72.799375,355.8233749999996,8,88,0,96,96,0,96,0,8,0,0,8,88,153.92496638904055,0.6236805,4
340.3137,16.08911145833333,2.99475,51.315124999999995,282.19222499999984,8,88,worker_sweep_96_cap8_w4,343.2678,23.759625,6.1808,68.078475,300.1311499999999,8,88,0,96,96,0,96,1,8,0,0,8,88,158.7005073456844,0.604913,4
478.9229,15.057251041666667,2.9046000000000003,52.864575,129.21811499999896,8,88,worker_sweep_96_cap8_w4,481.6037,23.79543958333333,5.986750000000001,100.343375,337.15325499999955,8,88,0,96,96,0,96,2,8,0,0,8,88,152.53098960993853,0.6293803,4
660.36,36.255479166666674,2.9802999999999997,234.526025,582.6268199999998,8,88,worker_sweep_96_cap8_w8,667.7095,48.46706770833333,6.1043,303.34430000000003,626.5543599999999,8,88,0,96,96,0,96,0,8,0,0,8,88,143.26981108084536,0.6700644,8
656.8323,41.66961979166667,2.962,290.579325,549.7464949999998,8,88,worker_sweep_96_cap8_w8,664.326,48.41311041666666,6.0517,293.99065,552.8666799999996,8,88,0,96,96,0,96,1,8,0,0,8,88,144.1253602383353,0.6660868,8
690.9915,41.498013541666666,3.01065,271.1988,554.6124449999996,8,88,worker_sweep_96_cap8_w8,698.0293,47.597742708333335,6.1196,274.099675,557.6396299999997,8,88,0,96,96,0,96,2,8,0,0,8,88,137.27379673439935,0.6993323,8
1533.2874,128.17860520833332,3.01715,1009.62165,1423.6094249999996,8,88,worker_sweep_96_cap8_w16,1540.4187,142.01102291666666,6.1847,1012.725775,1427.0598549999995,8,88,0,96,96,0,96,0,8,0,0,8,88,62.256179509468,1.5420156,16
878.0696,80.21603854166666,3.38795,566.7656,771.1103349999997,8,88,worker_sweep_96_cap8_w16,887.0234,106.98828229166666,7.86595,597.656175,774.4057449999997,8,88,0,96,96,0,96,1,8,0,0,8,88,108.04978799168423,0.8884793,16
967.167,94.63875833333333,3.3789,645.13085,865.8564349999997,8,88,worker_sweep_96_cap8_w16,973.252,110.597584375,7.099449999999999,668.232675,869.1872899999996,8,88,0,96,96,0,96,2,8,0,0,8,88,97.80797055491047,0.9815151,16
661.4819,168.20972500000002,98.17455,529.0218649999997,634.641314,3,21,concurrent_24_cap3,668.5548,174.57434583333335,105.50739999999999,531.8412049999997,640.7321139999999,3,21,0,24,24,0,24,0,3,0,0,3,21,35.83347467648344,0.6697648,16
285.3819,94.44052916666665,67.8992,251.35519499999995,278.11875299999997,3,21,concurrent_24_cap3,292.1233,115.50989166666666,100.87845,268.883845,287.238721,3,21,0,24,24,0,24,1,3,0,0,3,21,80.51554100908115,0.2980791,16
