dataset_id,cohort,model_name,model_label,n_precision,n_coverage,n_participants,precision_excluded,coverage_excluded,pooled_precision_difference,macro_precision_difference,macro_precision_ci_low,macro_precision_ci_high,pooled_coverage_difference,macro_coverage_difference,macro_coverage_ci_low,macro_coverage_ci_high,fixed_alerts,removed_alerts,fixed_reviews,removed_reviews
many_labs_igt,Development,hist_gradient_boosting,HGB,614,615,617,3,2,0.021237688100785412,-0.030484237194261212,-0.040478473183329346,-0.02093256601849176,0.32337439884050334,0.27349998134143544,0.25567813410929485,0.29074075468419391,4774,17079,1222,6218
many_labs_igt,Development,regularised_logistic,Logistic,612,615,617,5,2,0.0094932237163148914,-0.034774543361177974,-0.046103524418067893,-0.023460140244620398,0.33671519862968574,0.27741547062208644,0.25980231878129989,0.29415421080526166,4734,19347,1223,5976
many_labs_igt,Development,history_baseline,History,576,615,617,41,2,-0.048682905919084973,-0.10756029323803747,-0.12304260479845348,-0.092766875182201558,0.44057579550695042,0.3640546861510579,0.339136471914466,0.38970228571713716,4274,27693,871,5945
mendeley_igt_official_v2,External,hist_gradient_boosting,HGB,59,59,59,0,0,0.10251511375698008,0.037273245857465491,0.00015293341302710062,0.079041709953496214,0.31796996374935266,0.285461489326224,0.22510123776508983,0.34448678926863729,466,2790,118,1215
mendeley_igt_official_v2,External,regularised_logistic,Logistic,58,59,59,1,0,0.15440351575430422,0.090956993582234857,0.046944955412377067,0.13639121887264502,0.34196443984118768,0.30238946517324,0.24680452153303548,0.35813747768440174,462,3361,118,1115
mendeley_igt_official_v2,External,history_baseline,History,54,59,59,5,0,0.12477763856018065,0.027269511630995186,-0.012548160287122452,0.07064032068768239,0.42240635249438979,0.35772962011061771,0.26469361960085841,0.45152800650944386,396,4571,80,1446
