arm,workers,repetitions,p95_latency_ms_median,p95_latency_ms_min,p95_latency_ms_max,median_latency_ms_median,median_latency_ms_min,median_latency_ms_max,throughput_requests_per_second_median,throughput_requests_per_second_min,throughput_requests_per_second_max,client_database_bytes_median,client_database_bytes_min,client_database_bytes_max
ordinary,1,5,33.132999999361346,32.70471499708946,33.57723499793792,16.838200004713144,10.84054999955697,18.54934999937541,55.60945134766281,48.60132967158411,63.54760460272554,487424,487424,487424
ordinary,4,5,76.9769800037465,66.84645999775965,84.93775999813805,30.926899999030866,25.5819500052894,33.796600000641774,116.38939016136517,103.4765200455038,136.75380234302406,487424,487424,491520
ordinary,8,5,165.9661249977944,104.43666499959362,203.5492799986965,24.93934999438352,11.477099997136975,53.301449996070005,141.16290441879568,121.76701441975749,231.71757392992976,495616,491520,495616
ecrc,1,5,33.56026500405278,33.17446499931975,33.867525005553034,19.867700004397193,17.312100004346576,21.301550001226133,48.121190812872584,45.20431006138488,49.196169186482074,503808,503808,503808
ecrc,4,5,86.73827999955392,58.58060500504507,99.662685002113,24.441850000584964,18.849000000045635,45.666499998333165,116.62891413138686,93.73342273145327,164.0105079482159,503808,503808,503808
ecrc,8,5,203.97445499693248,157.56579000517354,230.95266499658453,32.12139999959618,17.872100001113722,49.742900002456736,100.892186452961,90.40227316502057,106.81547843069097,503808,503808,503808
