panel,dataset_id,cohort,model_name,capacity_basis,estimand,estimate,ci_low,ci_high,units,n_participants,finite_replicates,source,quantity,n_common_valid,n_reference_only,n_comparison_only
alert_coverage,many_labs_igt,Development,regularised_logistic,eight_per_episode,pooled,-0.028526253376375266,-0.0328321174048465,-0.02470878720721826,proportion difference,617,2000,online_intervals.csv,delta_paced_minus_fifo__alert_coverage,,,
alert_coverage,many_labs_igt,Development,regularised_logistic,eight_per_episode,participant_equal_common_valid,-0.04714157192333696,-0.05351535771407947,-0.041211359794114166,proportion difference,617,2000,participant_equal.csv,common_macro_difference,615,0,0
alert_coverage,many_labs_igt,Development,regularised_logistic,eight_per_100_planned,pooled,-0.03178733776928651,-0.036274040507003544,-0.027659987458629753,proportion difference,617,2000,online_intervals.csv,delta_paced_minus_fifo__alert_coverage,,,
alert_coverage,many_labs_igt,Development,regularised_logistic,eight_per_100_planned,participant_equal_common_valid,-0.04990064556294112,-0.05665955730973031,-0.0440311845908139,proportion difference,617,2000,participant_equal.csv,common_macro_difference,615,0,0
alert_coverage,many_labs_igt,Development,history_baseline,eight_per_episode,pooled,-0.03007444495684828,-0.03424597598267437,-0.026015737730524978,proportion difference,617,2000,online_intervals.csv,delta_paced_minus_fifo__alert_coverage,,,
alert_coverage,many_labs_igt,Development,history_baseline,eight_per_episode,participant_equal_common_valid,-0.04831293185555902,-0.05540379617222675,-0.04161372267287158,proportion difference,617,2000,participant_equal.csv,common_macro_difference,615,0,0
alert_coverage,many_labs_igt,Development,history_baseline,eight_per_100_planned,pooled,-0.031952039001251736,-0.036447423684675864,-0.027691876147134926,proportion difference,617,2000,online_intervals.csv,delta_paced_minus_fifo__alert_coverage,,,
alert_coverage,many_labs_igt,Development,history_baseline,eight_per_100_planned,participant_equal_common_valid,-0.050106537692831125,-0.05735405847650641,-0.04316874296635661,proportion difference,617,2000,participant_equal.csv,common_macro_difference,615,0,0
alert_coverage,mendeley_igt_official_v2,External,hist_gradient_boosting,eight_per_episode,pooled,-0.003970308993612982,-0.009294460956798041,0.0015302934658814984,proportion difference,59,2000,online_intervals.csv,delta_paced_minus_fifo__alert_coverage,,,
alert_coverage,mendeley_igt_official_v2,External,hist_gradient_boosting,eight_per_episode,participant_equal_common_valid,-0.005577208140910524,-0.012708270233068976,0.002141128527324409,proportion difference,59,2000,participant_equal.csv,common_macro_difference,59,0,0
alert_coverage,mendeley_igt_official_v2,External,hist_gradient_boosting,eight_per_100_planned,pooled,-0.008458484377697223,-0.016548081492563583,-0.00035021516131463853,proportion difference,59,2000,online_intervals.csv,delta_paced_minus_fifo__alert_coverage,,,
alert_coverage,mendeley_igt_official_v2,External,hist_gradient_boosting,eight_per_100_planned,participant_equal_common_valid,-0.01278278285548259,-0.022038574291396183,-0.003957020598289455,proportion difference,59,2000,participant_equal.csv,common_macro_difference,59,0,0
alert_coverage,mendeley_igt_official_v2,External,regularised_logistic,eight_per_episode,pooled,-0.0010357327809425165,-0.006762396618560745,0.004144830503167115,proportion difference,59,2000,online_intervals.csv,delta_paced_minus_fifo__alert_coverage,,,
alert_coverage,mendeley_igt_official_v2,External,regularised_logistic,eight_per_episode,participant_equal_common_valid,-0.0059558231786699094,-0.013473984103691253,0.0008937411137590655,proportion difference,59,2000,participant_equal.csv,common_macro_difference,59,0,0
alert_coverage,mendeley_igt_official_v2,External,regularised_logistic,eight_per_100_planned,pooled,-0.010184705679268075,-0.01997617771483418,-0.0010408939994426094,proportion difference,59,2000,online_intervals.csv,delta_paced_minus_fifo__alert_coverage,,,
alert_coverage,mendeley_igt_official_v2,External,regularised_logistic,eight_per_100_planned,participant_equal_common_valid,-0.017837680431734663,-0.028367978472233178,-0.007613796380999687,proportion difference,59,2000,participant_equal.csv,common_macro_difference,59,0,0
alert_coverage,mendeley_igt_official_v2,External,history_baseline,eight_per_episode,pooled,-0.003970308993612979,-0.010251177254706154,0.0015168935283181055,proportion difference,59,2000,online_intervals.csv,delta_paced_minus_fifo__alert_coverage,,,
alert_coverage,mendeley_igt_official_v2,External,history_baseline,eight_per_episode,participant_equal_common_valid,-0.009168751704657415,-0.01684605130301493,-0.0019506337200088544,proportion difference,59,2000,participant_equal.csv,common_macro_difference,59,0,0
alert_coverage,mendeley_igt_official_v2,External,history_baseline,eight_per_100_planned,pooled,-0.0074227515967546995,-0.01724180197604669,0.0013208441545435727,proportion difference,59,2000,online_intervals.csv,delta_paced_minus_fifo__alert_coverage,,,
alert_coverage,mendeley_igt_official_v2,External,history_baseline,eight_per_100_planned,participant_equal_common_valid,-0.01474689995593715,-0.02602388275655611,-0.003625237822408587,proportion difference,59,2000,participant_equal.csv,common_macro_difference,59,0,0
budget_utilization,many_labs_igt,Development,hist_gradient_boosting,eight_per_episode,pooled,-0.19084278768233387,-0.20847346029173414,-0.17382495948136145,proportion difference,617,2000,online_intervals.csv,delta_paced_minus_fifo__budget_utilization,,,
budget_utilization,many_labs_igt,Development,hist_gradient_boosting,eight_per_100_planned,pooled,-0.1895645645645645,-0.20739385227775325,-0.17249322670449485,proportion difference,617,2000,online_intervals.csv,delta_paced_minus_fifo__budget_utilization,,,
budget_utilization,many_labs_igt,Development,regularised_logistic,eight_per_episode,pooled,-0.22244732576985415,-0.24331948946515397,-0.20279578606158843,proportion difference,617,2000,online_intervals.csv,delta_paced_minus_fifo__budget_utilization,,,
budget_utilization,many_labs_igt,Development,regularised_logistic,eight_per_100_planned,pooled,-0.2242867867867867,-0.2447371382319264,-0.20452730328049765,proportion difference,617,2000,online_intervals.csv,delta_paced_minus_fifo__budget_utilization,,,
budget_utilization,many_labs_igt,Development,history_baseline,eight_per_episode,pooled,-0.2526337115072933,-0.27411365478119937,-0.23014586709886553,proportion difference,617,2000,online_intervals.csv,delta_paced_minus_fifo__budget_utilization,,,
budget_utilization,many_labs_igt,Development,history_baseline,eight_per_100_planned,pooled,-0.2466216216216216,-0.26785815211540526,-0.22476962689168678,proportion difference,617,2000,online_intervals.csv,delta_paced_minus_fifo__budget_utilization,,,
budget_utilization,mendeley_igt_official_v2,External,hist_gradient_boosting,eight_per_episode,pooled,-0.1271186440677966,-0.18644067796610175,-0.07409957627118664,proportion difference,59,2000,online_intervals.csv,delta_paced_minus_fifo__budget_utilization,,,
budget_utilization,mendeley_igt_official_v2,External,hist_gradient_boosting,eight_per_100_planned,pooled,-0.11758474576271183,-0.15783898305084743,-0.07944915254237295,proportion difference,59,2000,online_intervals.csv,delta_paced_minus_fifo__budget_utilization,,,
budget_utilization,mendeley_igt_official_v2,External,regularised_logistic,eight_per_episode,pooled,-0.18432203389830504,-0.2457627118644068,-0.1271186440677966,proportion difference,59,2000,online_intervals.csv,delta_paced_minus_fifo__budget_utilization,,,
budget_utilization,mendeley_igt_official_v2,External,regularised_logistic,eight_per_100_planned,pooled,-0.1917372881355932,-0.2457627118644068,-0.13877118644067798,proportion difference,59,2000,online_intervals.csv,delta_paced_minus_fifo__budget_utilization,,,
budget_utilization,mendeley_igt_official_v2,External,history_baseline,eight_per_episode,pooled,-0.26906779661016944,-0.3559851694915255,-0.18432203389830504,proportion difference,59,2000,online_intervals.csv,delta_paced_minus_fifo__budget_utilization,,,
budget_utilization,mendeley_igt_official_v2,External,history_baseline,eight_per_100_planned,pooled,-0.19491525423728817,-0.2648305084745763,-0.13029661016949157,proportion difference,59,2000,online_intervals.csv,delta_paced_minus_fifo__budget_utilization,,,
