cohort,model,pooled_auroc,within_auroc,within_ci_low,within_ci_high,below_0_5_percent,eligible_participants,per_episode_contrast,per_episode_ci_low,per_episode_ci_high,per_100_decisions_8_contrast,per_100_decisions_8_ci_low,per_100_decisions_8_ci_high
development,HGB,0.80356439769351928,0.72790750331864873,0.71623898743202608,0.73915850648647763,4.8780487804878003,615,-0.0020946795140343033,-0.014244044607936599,0.0096496748479127006,-0.00039200313602516523,-0.012095437078552901,0.0112906915166191
development,logistic,0.74766856974590445,0.65127191023537212,0.63607656234718135,0.66609429041606516,21.463414634146343,615,-0.040768905787917253,-0.057719799779344202,-0.024445754110446201,-0.04144464179988161,-0.057220159952549199,-0.026387865276705301
development,history,0.66835083584898414,0.52132084086534936,0.50943429621584135,0.53314248302320644,50.569105691056912,615,-0.12634534394010299,-0.1394869270137962,-0.11284961993813269,-0.12376779846659369,-0.136374704128612,-0.11089279778986109
external,HGB,0.75436153936409578,0.7007140487597957,0.6741176721098262,0.72759715084317556,3.3898305084745699,59,0.072961373390557971,0.023603886555587102,0.1225450113248109,0.062427745664739742,0.0247024859083683,0.10158058639207559
external,logistic,0.67492448176937025,0.60594079866870421,0.56954629277195545,0.64453368065816974,27.118644067796609,59,0.097402597402597491,0.036320921985815602,0.15708882508002259,0.046822742474916246,-2.7593818984397025e-05,0.093313507864421497
external,history,0.6121017797551398,0.47815706897395588,0.45845227459246102,0.50090352700268215,69.491525423728802,59,-0.075757575757575801,-0.12467548990449751,-0.024736880524513501,-0.039772727272727182,-0.076156766098229994,-0.003854193548387
