dataset_id,model_name,capacity_basis,allocator,n_decisions,n_positive,n_alert,n_review,n_review_positive,n_alert_positive,alert_cap,exhausted,exhaustion_fraction_sum,n_participants,n_candidate,n_candidate_positive,n_abstain,n_no_action,n_denied_hard_cap,n_denied_before_release,alert_precision,alert_coverage,false_alerts_per_100,budget_utilization,action_precision,action_coverage,exhaustion_share,exhaustion_fraction_conditional
many_labs_igt,hist_gradient_boosting,eight_per_100_planned,fifo,66525,30358,5102,1222,726,3931,5328,558,137.79333333333335,617,17079,13485,15478,44723,11977,0,0.77048216385731083,0.12948810857105211,1.7602405110860579,0.95758258258258255,0.73640101201771035,0.15340272745240136,0.90437601296596437,0.2469414575866189
many_labs_igt,hist_gradient_boosting,eight_per_100_planned,paced,66525,30358,4092,1222,726,3044,5328,262,241.12666666666667,617,17079,13485,15478,45733,954,12033,0.74389051808406648,0.10027011002042295,1.5753476136790683,0.76801801801801806,0.70944674444862632,0.12418472890177218,0.42463533225283628,0.92033078880407126
many_labs_igt,hist_gradient_boosting,eight_per_episode,fifo,66525,30358,4774,1222,726,3668,4936,567,136.59999999999999,617,17079,13485,15478,45051,12305,0,0.76832844574780057,0.1208248237696818,1.6625328823750469,0.96717990275526744,0.73282188125416947,0.14473944265103103,0.91896272285251213,0.24091710758377424
many_labs_igt,hist_gradient_boosting,eight_per_episode,paced,66525,30358,3832,1222,726,2838,4936,265,242.56666666666666,617,17079,13485,15478,45993,1045,12202,0.74060542797494777,0.093484419263456089,1.4941751221345358,0.77633711507293357,0.70518401266323705,0.11739903814480532,0.42949756888168555,0.91534591194968551
many_labs_igt,history_baseline,eight_per_100_planned,fifo,66525,30358,4565,871,407,2884,5328,493,86.75333333333333,617,27693,16062,25359,35730,23128,0,0.63176341730558594,0.094999670597536071,2.5268695978955278,0.85679429429429432,0.60540838852097134,0.10840635087950458,0.79902755267423009,0.17597025016903312
many_labs_igt,history_baseline,eight_per_100_planned,paced,66525,30358,3251,871,407,1914,5328,211,190.54333333333335,617,27693,16062,25359,37044,1916,22526,0.58874192556136573,0.063047631596284334,2.009770762871101,0.61017267267267272,0.56307617661329457,0.076454311878252842,0.34197730956239869,0.90304897314375998
many_labs_igt,history_baseline,eight_per_episode,fifo,66525,30358,4274,871,407,2687,4936,497,85.060000000000002,617,27693,16062,25359,36021,23419,0,0.62868507253158634,0.088510442058106598,2.3855693348365277,0.8658833063209076,0.60136054421768703,0.10191712234007511,0.80551053484602919,0.17114688128772637
many_labs_igt,history_baseline,eight_per_episode,paced,66525,30358,3027,871,407,1774,4936,214,192.04333333333335,617,27693,16062,25359,37268,2106,22560,0.58605880409646516,0.058435997101258318,1.8835024426907179,0.6132495948136143,0.55951770138532586,0.071842677383226833,0.34683954619124796,0.89739875389408108
many_labs_igt,regularised_logistic,eight_per_100_planned,fifo,66525,30358,5067,1223,737,3511,5328,567,115.07666666666667,617,19347,13474,11787,48448,14280,0,0.69291493980659169,0.11565320508597404,2.3389703119128145,0.95101351351351349,0.67535771065182826,0.13993016667764674,0.91896272285251213,0.20295708406819518
many_labs_igt,regularised_logistic,eight_per_100_planned,paced,66525,30358,3872,1223,737,2546,5328,255,234.13999999999999,617,19347,13474,11787,49643,1049,14426,0.6575413223140496,0.083865867316687534,1.9932356257046222,0.72672672672672678,0.64435721295387638,0.10814282890836023,0.41329011345218802,0.91819607843137252
many_labs_igt,regularised_logistic,eight_per_episode,fifo,66525,30358,4734,1223,737,3252,4936,570,111.07666666666667,617,19347,13474,11787,48781,14613,0,0.68694550063371351,0.10712168127017591,2.2277339346110483,0.95907617504051867,0.66963236528453918,0.1313986428618486,0.92382495948136145,0.19487134502923978
many_labs_igt,regularised_logistic,eight_per_episode,paced,66525,30358,3636,1223,737,2386,4936,262,239.72,617,19347,13474,11787,49879,1119,14592,0.65621562156215618,0.07859542789380064,1.8789928598271326,0.73662884927066452,0.64272484050216094,0.10287238948547335,0.42463533225283628,0.91496183206106874
mendeley_igt_official_v2,hist_gradient_boosting,eight_per_100_planned,fifo,11800,5793,865,118,61,597,944,47,16.984999999999999,59,2790,2154,3379,7438,1925,0,0.69017341040462432,0.10305541170378042,2.2711864406779658,0.91631355932203384,0.66937945066124105,0.11358536164336268,0.79661016949152541,0.36138297872340425
mendeley_igt_official_v2,hist_gradient_boosting,eight_per_100_planned,paced,11800,5793,754,118,61,548,944,30,28.745000000000001,59,2790,2154,3379,7549,104,1932,0.72679045092838201,0.094596927326083199,1.7457627118644066,0.79872881355932202,0.69839449541284404,0.10512687726566546,0.50847457627118642,0.95816666666666672
mendeley_igt_official_v2,hist_gradient_boosting,eight_per_episode,fifo,11800,5793,466,118,61,312,472,57,10.789999999999999,59,2790,2154,3379,7837,2324,0,0.66952789699570814,0.053858104609010873,1.3050847457627119,0.98728813559322037,0.63869863013698636,0.064388054548593129,0.96610169491525422,0.18929824561403508
mendeley_igt_official_v2,hist_gradient_boosting,eight_per_episode,paced,11800,5793,406,118,61,289,472,40,36.225000000000001,59,2790,2154,3379,7897,287,2097,0.71182266009852213,0.049887795615397891,0.99152542372881358,0.86016949152542377,0.66793893129770987,0.060417745554980147,0.67796610169491522,0.90562500000000001
mendeley_igt_official_v2,history_baseline,eight_per_100_planned,fifo,11800,5793,704,80,37,336,944,37,5.6950000000000003,59,4571,2625,5512,5504,3867,0,0.47727272727272729,0.058001035732780939,3.1186440677966103,0.74576271186440679,0.47576530612244899,0.064388054548593129,0.6271186440677966,0.15391891891891893
mendeley_igt_official_v2,history_baseline,eight_per_100_planned,paced,11800,5793,520,80,37,293,944,24,22.73,59,4571,2625,5512,5688,240,3811,0.56346153846153846,0.05057828413602624,1.9237288135593218,0.55084745762711862,0.55000000000000004,0.056965302951838423,0.40677966101694918,0.94708333333333339
mendeley_igt_official_v2,history_baseline,eight_per_episode,fifo,11800,5793,396,80,37,178,472,43,3.9949999999999997,59,4571,2625,5512,5812,4175,0,0.4494949494949495,0.030726739167961332,1.847457627118644,0.83898305084745761,0.45168067226890757,0.037113757983773518,0.72881355932203384,0.092906976744186034
mendeley_igt_official_v2,history_baseline,eight_per_episode,paced,11800,5793,269,80,37,155,472,24,21.265000000000001,59,4571,2625,5512,5939,531,3771,0.57620817843866168,0.026756430174348353,0.96610169491525433,0.56991525423728817,0.55014326647564471,0.033143448990160536,0.40677966101694918,0.88604166666666673
mendeley_igt_official_v2,regularised_logistic,eight_per_100_planned,fifo,11800,5793,897,118,65,503,944,53,11.789999999999999,59,3361,2214,2498,8287,2464,0,0.56075808249721293,0.086828931469014325,3.3389830508474576,0.95021186440677963,0.55960591133004922,0.09804936992922493,0.89830508474576276,0.22245283018867923
mendeley_igt_official_v2,regularised_logistic,eight_per_100_planned,paced,11800,5793,716,118,65,444,944,21,20.135000000000002,59,3361,2214,2498,8468,75,2570,0.62011173184357538,0.076644225789746251,2.3050847457627119,0.75847457627118642,0.61031175059952036,0.087864664249956842,0.3559322033898305,0.95880952380952389
mendeley_igt_official_v2,regularised_logistic,eight_per_episode,fifo,11800,5793,462,118,65,233,472,57,6.2399999999999993,59,3361,2214,2498,8722,2899,0,0.50432900432900429,0.040220956326601068,1.9406779661016949,0.97881355932203384,0.51379310344827589,0.051441394786811666,0.96610169491525422,0.10947368421052631
mendeley_igt_official_v2,regularised_logistic,eight_per_episode,paced,11800,5793,375,118,65,227,472,28,25.294999999999998,59,3361,2214,2498,8809,207,2779,0.60533333333333328,0.039185223545658551,1.2542372881355932,0.79449152542372881,0.59229208924949295,0.050405662005869149,0.47457627118644069,0.90339285714285711
