analysis,dataset_id,model_name,capacity_basis,cohort,allocator,metric,n_participants,n_valid,n_zero_denominator,n_zero_alert,n_zero_positive,n_decisions,n_positive,n_alert,n_true_alert,pooled_estimate,macro_estimate,pooled_ci_low,pooled_ci_high,pooled_finite_replicates,macro_ci_low,macro_ci_high,macro_finite_replicates
capacity_removal,many_labs_igt,hist_gradient_boosting,separate_8_2_vs_unbounded,Development,fixed_8_2,alert_precision,617,614,3,3,2,66525,30358,4774,3668,0.76832844574780057,0.76480921358771525,0.75321538618513317,0.78408584205933685,2000,0.75003570462275826,0.78048164536729125,2000
capacity_removal,many_labs_igt,hist_gradient_boosting,separate_8_2_vs_unbounded,Development,capacity_removed,alert_precision,617,614,3,3,2,66525,30358,17079,13485,0.78956613384858598,0.73432497639345395,0.77796886729475878,0.80053831238622863,2000,0.72144599016566979,0.74698896052665098,2000
capacity_removal,many_labs_igt,hist_gradient_boosting,separate_8_2_vs_unbounded,Development,fixed_8_2,alert_coverage,617,615,2,3,2,66525,30358,4774,3668,0.1208248237696818,0.14499898500720479,0.11658544233736995,0.1251987684354488,2000,0.13790544059716656,0.15199945987634281,2000
capacity_removal,many_labs_igt,hist_gradient_boosting,separate_8_2_vs_unbounded,Development,capacity_removed,alert_coverage,617,615,2,3,2,66525,30358,17079,13485,0.44419922261018513,0.41849896634864014,0.42256356691553659,0.46497818614339176,2000,0.40070078039705798,0.43604195653127059,2000
capacity_removal,many_labs_igt,history_baseline,separate_8_2_vs_unbounded,Development,fixed_8_2,alert_precision,617,576,41,41,2,66525,30358,4274,2687,0.62868507253158634,0.59487640542328046,0.60938216747100071,0.64719554651650257,2000,0.57298789008827722,0.61635415488634782,2000
capacity_removal,many_labs_igt,history_baseline,separate_8_2_vs_unbounded,Development,capacity_removed,alert_precision,617,576,41,41,2,66525,30358,27693,16062,0.58000216661250137,0.4873161121852429,0.56699168624923613,0.5918281465926466,2000,0.47265503907212625,0.50071228527955003,2000
capacity_removal,many_labs_igt,history_baseline,separate_8_2_vs_unbounded,Development,fixed_8_2,alert_coverage,617,615,2,41,2,66525,30358,4274,2687,0.088510442058106598,0.1048536000239963,0.084219348350506318,0.092699203994249538,2000,0.097586914110694131,0.11251959397548345,2000
capacity_removal,many_labs_igt,history_baseline,separate_8_2_vs_unbounded,Development,capacity_removed,alert_coverage,617,615,2,41,2,66525,30358,27693,16062,0.52908623756505702,0.46890828617505415,0.49844792365380347,0.55959464921910729,2000,0.44293672074661045,0.49636178902783673,2000
capacity_removal,many_labs_igt,regularised_logistic,separate_8_2_vs_unbounded,Development,fixed_8_2,alert_precision,617,612,5,5,2,66525,30358,4734,3252,0.68694550063371351,0.6801100995953937,0.66794215654713129,0.70556326905256894,2000,0.66086460485494436,0.69837631224331109,2000
capacity_removal,many_labs_igt,regularised_logistic,separate_8_2_vs_unbounded,Development,capacity_removed,alert_precision,617,612,5,5,2,66525,30358,19347,13474,0.6964387243500284,0.64533555623421568,0.68041546575703904,0.71149231633226118,2000,0.62918151124023247,0.66084111137050672,2000
capacity_removal,many_labs_igt,regularised_logistic,separate_8_2_vs_unbounded,Development,fixed_8_2,alert_coverage,617,615,2,5,2,66525,30358,4734,3252,0.10712168127017591,0.12642017271423794,0.10286137566274524,0.11133919285194162,2000,0.11987666642771892,0.13332660069195923,2000
capacity_removal,many_labs_igt,regularised_logistic,separate_8_2_vs_unbounded,Development,capacity_removed,alert_coverage,617,615,2,5,2,66525,30358,19347,13474,0.44383687989986165,0.40383564333632432,0.42355023201274811,0.4638186021674115,2000,0.38712016282716882,0.4208880281050269,2000
capacity_removal,mendeley_igt_official_v2,hist_gradient_boosting,separate_8_2_vs_unbounded,External,fixed_8_2,alert_precision,59,59,0,0,0,11800,5793,466,312,0.66952789699570814,0.66545601291364009,0.62582056892778992,0.71489408361328854,2000,0.62073748991121869,0.71115819209039544,2000
capacity_removal,mendeley_igt_official_v2,hist_gradient_boosting,separate_8_2_vs_unbounded,External,capacity_removed,alert_precision,59,59,0,0,0,11800,5793,2790,2154,0.77204301075268822,0.70272925877110559,0.74063267681268918,0.79687646667709633,2000,0.66660277710967175,0.73620504685626564,2000
