analysis,dataset_id,model_name,capacity_basis,cohort,reference,comparison,metric,n_participants,n_valid_reference,n_valid_comparison,n_common_valid,n_reference_only,n_comparison_only,n_neither_valid,pooled_reference,pooled_comparison,pooled_difference,macro_reference,macro_comparison,arm_macro_difference,common_reference,common_comparison,common_macro_difference,pooled_difference_ci_low,pooled_difference_ci_high,pooled_difference_finite_replicates,arm_macro_difference_ci_low,arm_macro_difference_ci_high,arm_macro_difference_finite_replicates,common_macro_difference_ci_low,common_macro_difference_ci_high,common_macro_difference_finite_replicates,common_reference_ci_low,common_reference_ci_high,common_reference_finite_replicates,common_comparison_ci_low,common_comparison_ci_high,common_comparison_finite_replicates
capacity_removal,many_labs_igt,hist_gradient_boosting,separate_8_2_vs_unbounded,Development,fixed_8_2,capacity_removed,alert_precision,617,614,614,614,0,0,3,0.76832844574780057,0.78956613384858598,0.021237688100785412,0.76480921358771525,0.73432497639345395,-0.030484237194261299,0.76480921358771525,0.73432497639345395,-0.030484237194261212,0.0073831246406681319,0.034150030745952291,2000,-0.040478473183329408,-0.020932566018491777,2000,-0.040478473183329346,-0.02093256601849176,2000,0.75003570462275826,0.78048164536729125,2000,0.72144599016566979,0.74698896052665098,2000
capacity_removal,many_labs_igt,hist_gradient_boosting,separate_8_2_vs_unbounded,Development,fixed_8_2,capacity_removed,alert_coverage,617,615,615,615,0,0,2,0.1208248237696818,0.44419922261018513,0.32337439884050334,0.14499898500720479,0.41849896634864014,0.27349998134143538,0.14499898500720479,0.41849896634864014,0.27349998134143544,0.30118161305008634,0.34477149872585766,2000,0.25567813410929496,0.29074075468419402,2000,0.25567813410929485,0.29074075468419391,2000,0.13790544059716656,0.15199945987634281,2000,0.40070078039705798,0.43604195653127059,2000
capacity_removal,many_labs_igt,history_baseline,separate_8_2_vs_unbounded,Development,fixed_8_2,capacity_removed,alert_precision,617,576,576,576,0,0,41,0.62868507253158634,0.58000216661250137,-0.048682905919084973,0.59487640542328046,0.4873161121852429,-0.10756029323803756,0.59487640542328046,0.4873161121852429,-0.10756029323803747,-0.068343122641018911,-0.0286691505757539,2000,-0.12304260479845339,-0.092766875182201766,2000,-0.12304260479845348,-0.092766875182201558,2000,0.57298789008827722,0.61635415488634782,2000,0.47265503907212625,0.50071228527955003,2000
capacity_removal,many_labs_igt,history_baseline,separate_8_2_vs_unbounded,Development,fixed_8_2,capacity_removed,alert_coverage,617,615,615,615,0,0,2,0.088510442058106598,0.52908623756505702,0.44057579550695042,0.1048536000239963,0.46890828617505415,0.36405468615105785,0.1048536000239963,0.46890828617505415,0.3640546861510579,0.41068214829573735,0.47076631146766063,2000,0.33913647191446605,0.38970228571713711,2000,0.339136471914466,0.38970228571713716,2000,0.097586914110694131,0.11251959397548345,2000,0.44293672074661045,0.49636178902783673,2000
capacity_removal,many_labs_igt,regularised_logistic,separate_8_2_vs_unbounded,Development,fixed_8_2,capacity_removed,alert_precision,617,612,612,612,0,0,5,0.68694550063371351,0.6964387243500284,0.0094932237163148914,0.6801100995953937,0.64533555623421568,-0.034774543361178023,0.6801100995953937,0.64533555623421568,-0.034774543361177974,-0.0063551581190579905,0.024963718548321145,2000,-0.046103524418068038,-0.023460140244620484,2000,-0.046103524418067893,-0.023460140244620398,2000,0.66086460485494436,0.69837631224331109,2000,0.62918151124023247,0.66084111137050672,2000
capacity_removal,many_labs_igt,regularised_logistic,separate_8_2_vs_unbounded,Development,fixed_8_2,capacity_removed,alert_coverage,617,615,615,615,0,0,2,0.10712168127017591,0.44383687989986165,0.33671519862968574,0.12642017271423794,0.40383564333632432,0.27741547062208638,0.12642017271423794,0.40383564333632432,0.27741547062208644,0.31580200408104214,0.35768344796432011,2000,0.25980231878129995,0.29415421080526177,2000,0.25980231878129989,0.29415421080526166,2000,0.11987666642771892,0.13332660069195923,2000,0.38712016282716882,0.4208880281050269,2000
capacity_removal,mendeley_igt_official_v2,hist_gradient_boosting,separate_8_2_vs_unbounded,External,fixed_8_2,capacity_removed,alert_precision,59,59,59,59,0,0,0,0.66952789699570814,0.77204301075268822,0.10251511375698008,0.66545601291364009,0.70272925877110559,0.037273245857465498,0.66545601291364009,0.70272925877110559,0.037273245857465491,0.064085042056664543,0.14292008243828519,2000,0.0001529334130269539,0.079041709953496297,2000,0.00015293341302710062,0.079041709953496214,2000,0.62073748991121869,0.71115819209039544,2000,0.66660277710967175,0.73620504685626564,2000
capacity_removal,mendeley_igt_official_v2,hist_gradient_boosting,separate_8_2_vs_unbounded,External,fixed_8_2,capacity_removed,alert_coverage,59,59,59,59,0,0,0,0.053858104609010873,0.37182806835836352,0.31796996374935266,0.05783856882369335,0.34330005814991743,0.28546148932622406,0.05783856882369335,0.34330005814991743,0.285461489326224,0.25393411820455902,0.38122204183811403,2000,0.22510123776508983,0.34448678926863735,2000,0.22510123776508983,0.34448678926863729,2000,0.05207253553076481,0.0642116072587402,2000,0.28406152572339149,0.40227285490683345,2000
capacity_removal,mendeley_igt_official_v2,history_baseline,separate_8_2_vs_unbounded,External,fixed_8_2,capacity_removed,alert_precision,59,54,54,54,0,0,5,0.4494949494949495,0.57427258805513015,0.12477763856018065,0.42217813051146386,0.44944764214245908,0.027269511630995225,0.42217813051146386,0.44944764214245908,0.027269511630995186,0.0746149636720706,0.17393101860766047,2000,-0.012548160287122311,0.070640320687682473,2000,-0.012548160287122452,0.07064032068768239,2000,0.36383854166666663,0.47714846256898985,2000,0.3970549681340545,0.49716889979284445,2000
capacity_removal,mendeley_igt_official_v2,history_baseline,separate_8_2_vs_unbounded,External,fixed_8_2,capacity_removed,alert_coverage,59,59,59,59,0,0,0,0.030726739167961332,0.45313309166235111,0.42240635249438979,0.032954916002891389,0.39068453611350906,0.35772962011061765,0.032954916002891389,0.39068453611350906,0.35772962011061771,0.31934901012453115,0.52314158960078994,2000,0.26469361960085835,0.45152800650944386,2000,0.26469361960085841,0.45152800650944386,2000,0.026714253837525632,0.039152987613545714,2000,0.29696173647091545,0.48775225569470798,2000
