adjudication_latency.p50_ms.maximum,adjudication_latency.p50_ms.median,adjudication_latency.p50_ms.minimum,adjudication_latency.p95_ms.maximum,adjudication_latency.p95_ms.median,adjudication_latency.p95_ms.minimum,adjudication_latency.p99_ms.maximum,adjudication_latency.p99_ms.median,adjudication_latency.p99_ms.minimum,capacity,case,end_to_end_latency.p50_ms.maximum,end_to_end_latency.p50_ms.median,end_to_end_latency.p50_ms.minimum,end_to_end_latency.p95_ms.maximum,end_to_end_latency.p95_ms.median,end_to_end_latency.p95_ms.minimum,end_to_end_latency.p99_ms.maximum,end_to_end_latency.p99_ms.median,end_to_end_latency.p99_ms.minimum,n_requests,repetitions,throughput_requests_per_second.maximum,throughput_requests_per_second.median,throughput_requests_per_second.minimum,workers
9.2137,8.225349999999999,7.86475,10.392575,9.6754,9.233875000000001,11.138649999999966,10.963934999999958,9.67825,96,single_thread,17.98605,15.951,15.49255,19.5626,18.4691,17.450475,21.80535499999997,19.75957999999994,18.492469999999997,96,3,64.39115480170207,61.369333948390434,54.80285671307879,1
6.9201,6.78085,6.7661999999999995,9.09765,8.859125,8.709150000000001,9.712344999999994,9.431629999999998,9.28431,8,worker_sweep_96_cap8_w1,13.907250000000001,13.74065,13.69205,17.65455,17.6291,17.009125,18.49546,18.317059999999998,17.575515,96,3,71.19481511893095,70.6417100297615,70.14030691644798,1
3.1428000000000003,3.08045,2.9007,38.13755,36.013675,33.66115,65.66346499999996,51.3584199999999,49.429179999999995,8,worker_sweep_96_cap8_w2,6.84515,6.2689,5.9902999999999995,57.74185,51.548625,43.138149999999996,91.22698499999996,87.11558499999998,59.92136999999998,96,3,143.1656520546732,141.6239815428546,126.52752329490325,2
3.01545,2.99475,2.9046000000000003,52.864575,51.315124999999995,48.025875,282.19222499999984,173.4485249999991,129.21811499999896,8,worker_sweep_96_cap8_w4,6.1808,6.13535,5.986750000000001,100.343375,72.799375,68.078475,355.8233749999996,337.15325499999955,300.1311499999999,96,3,158.7005073456844,153.92496638904055,152.53098960993853,4
3.01065,2.9802999999999997,2.962,290.579325,271.1988,234.526025,582.6268199999998,554.6124449999996,549.7464949999998,8,worker_sweep_96_cap8_w8,6.1196,6.1043,6.0517,303.34430000000003,293.99065,274.099675,626.5543599999999,557.6396299999997,552.8666799999996,96,3,144.1253602383353,143.26981108084536,137.27379673439935,8
3.38795,3.3789,3.01715,1009.62165,645.13085,566.7656,1423.6094249999996,865.8564349999997,771.1103349999997,8,worker_sweep_96_cap8_w16,7.86595,7.099449999999999,6.1847,1012.725775,668.232675,597.656175,1427.0598549999995,869.1872899999996,774.4057449999997,96,3,108.04978799168423,97.80797055491047,62.256179509468,16
98.17455,90.05805,67.8992,529.0218649999997,329.70589499999994,251.35519499999995,634.641314,421.42183399999993,278.11875299999997,3,concurrent_24_cap3,126.035,105.50739999999999,100.87845,531.8412049999997,333.4892499999999,268.883845,640.7321139999999,427.68970999999993,287.238721,24,3,80.51554100908115,52.531653604525076,35.83347467648344,16
3.18895,3.1483499999999998,3.06785,760.626225,714.487325,668.4591750000001,988.2065249999997,982.6806549999997,881.5535049999996,8,concurrent_96_cap8,6.8667,6.73555,6.4229,763.6023,718.0115249999999,671.437575,991.6434299999996,985.9380699999997,884.6475649999996,96,3,96.32468160428355,87.20035890214385,86.71568933417797,16
