dataset_id,cohort,model_name,model_label,capacity_basis,allocator,n_decisions,n_alert,n_review,n_abstain,n_no_action,alert_precision,action_precision,alert_coverage,action_coverage,false_alerts_per_100,false_actions_per_100
many_labs_igt,development,hist_gradient_boosting,HGB,per_episode,chronological,66525,4774,1222,15478,45051,0.76832844574780057,0.73282188125416947,0.1208248237696818,0.14473944265103103,1.6625328823750469,2.4081172491544534
many_labs_igt,development,hist_gradient_boosting,HGB,per_episode,score_ranked,66525,4774,1222,15478,45051,0.76623376623376627,0.7311541027351568,0.12049542130575136,0.1444100401871006,1.6775648252536641,2.4231491920330703
many_labs_igt,development,hist_gradient_boosting,HGB,per_episode,random,66525,4774,1222,15478,45051,0.72978634268956855,0.70213475650433621,0.11476381843336188,0.13867843731471111,1.939120631341601,2.6847049981210072
many_labs_igt,development,history_baseline,history,per_episode,chronological,66525,4274,871,25359,36021,0.62868507253158634,0.60136054421768703,0.088510442058106598,0.10191712234007511,2.3855693348365277,3.0830514844043591
many_labs_igt,development,history_baseline,history,per_episode,score_ranked,66525,4274,871,25359,36021,0.50233972859148335,0.49640427599611275,0.07072270900586336,0.084129389287831868,3.1972942502818493,3.8947763998496803
many_labs_igt,development,history_baseline,history,per_episode,random,66525,4274,871,25359,36021,0.51240056153486191,0.50476190476190474,0.072139139600764207,0.085545819882732729,3.132656895903795,3.8301390454716269
many_labs_igt,development,regularised_logistic,logistic,per_episode,chronological,66525,4734,1223,11787,48781,0.68694550063371351,0.66963236528453918,0.10712168127017591,0.1313986428618486,2.2277339346110483,2.9582863585118377
many_labs_igt,development,regularised_logistic,logistic,per_episode,score_ranked,66525,4734,1223,11787,48781,0.64617659484579637,0.63723350679872415,0.10076421371631859,0.1250411753079913,2.5178504321683577,3.2484028560691471
many_labs_igt,development,regularised_logistic,logistic,per_episode,random,66525,4734,1223,11787,48781,0.65209125475285168,0.64193385932516367,0.1016865406153238,0.12596350220699651,2.47576099210823,3.206313416009019
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,per_episode,chronological,11800,466,118,3379,7837,0.66952789699570814,0.63869863013698636,0.053858104609010873,0.064388054548593129,1.3050847457627119,1.7881355932203389
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,per_episode,score_ranked,11800,466,118,3379,7837,0.74248927038626611,0.69691780821917804,0.059727257034351805,0.070257206973934061,1.0169491525423728,1.5
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,per_episode,random,11800,466,118,3379,7837,0.72317596566523601,0.68150684931506844,0.05817365786293803,0.068703607802520286,1.0932203389830508,1.5762711864406782
mendeley_igt_official_v2,external,history_baseline,history,per_episode,chronological,11800,396,80,5512,5812,0.4494949494949495,0.45168067226890757,0.030726739167961332,0.037113757983773518,1.847457627118644,2.2118644067796613
mendeley_igt_official_v2,external,history_baseline,history,per_episode,score_ranked,11800,396,80,5512,5812,0.37373737373737376,0.38865546218487396,0.025548075263248749,0.031935094079060936,2.1016949152542375,2.4661016949152543
mendeley_igt_official_v2,external,history_baseline,history,per_episode,random,11800,396,80,5512,5812,0.47979797979797978,0.47689075630252103,0.032798204729846368,0.039185223545658551,1.7457627118644066,2.1101694915254239
mendeley_igt_official_v2,external,regularised_logistic,logistic,per_episode,chronological,11800,462,118,2498,8722,0.50432900432900429,0.51379310344827589,0.040220956326601068,0.051441394786811666,1.9406779661016949,2.3898305084745766
mendeley_igt_official_v2,external,regularised_logistic,logistic,per_episode,score_ranked,11800,462,118,2498,8722,0.60173160173160178,0.5913793103448276,0.047988952183669949,0.059209390643880547,1.5593220338983051,2.0084745762711864
mendeley_igt_official_v2,external,regularised_logistic,logistic,per_episode,random,11800,462,118,2498,8722,0.57792207792207795,0.57241379310344831,0.046090108751941999,0.057310547212152597,1.652542372881356,2.1016949152542375
many_labs_igt,development,hist_gradient_boosting,HGB,per_100_decisions_8,chronological,66525,5102,1222,15478,44723,0.77048216385731083,0.73640101201771035,0.12948810857105211,0.15340272745240136,1.7602405110860579,2.5058248778654644
many_labs_igt,development,hist_gradient_boosting,HGB,per_100_decisions_8,score_ranked,66525,5102,1222,15478,44723,0.77009016072128578,0.73608475648323846,0.12942222807826603,0.15333684695961525,1.7632468996617814,2.5088312664411876
many_labs_igt,development,hist_gradient_boosting,HGB,per_100_decisions_8,random,66525,5102,1222,15478,44723,0.73343786750294004,0.7065148640101202,0.12326240200276697,0.14717702088411622,2.0443442314919205,2.7899285982713264
many_labs_igt,development,history_baseline,history,per_100_decisions_8,chronological,66525,4565,871,25359,35730,0.63176341730558594,0.60540838852097134,0.094999670597536071,0.10840635087950458,2.5268695978955278,3.2243517474633596
many_labs_igt,development,history_baseline,history,per_100_decisions_8,score_ranked,66525,4565,871,25359,35730,0.50799561883899236,0.5014716703458425,0.076388431385466762,0.089795111667435271,3.3761743705373921,4.0736565201052235
many_labs_igt,development,history_baseline,history,per_100_decisions_8,random,66525,4565,871,25359,35730,0.51544359255202632,0.50772626931567333,0.077508399762830221,0.09091508004479873,3.3250657647500939,4.0225479143179257
many_labs_igt,development,regularised_logistic,logistic,per_100_decisions_8,chronological,66525,5067,1223,11787,48448,0.69291493980659169,0.67535771065182826,0.11565320508597404,0.13993016667764674,2.3389703119128145,3.0695227358136039
many_labs_igt,development,regularised_logistic,logistic,per_100_decisions_8,score_ranked,66525,5067,1223,11787,48448,0.65147029800671008,0.64197138314785374,0.10873575334343501,0.13301271493510772,2.6546411123637732,3.3851935362645622
many_labs_igt,development,regularised_logistic,logistic,per_100_decisions_8,random,66525,5067,1223,11787,48448,0.65206236431813691,0.64244833068362484,0.10883457408261414,0.13311153567428685,2.6501315295001877,3.3806839534009772
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,per_100_decisions_8,chronological,11800,865,118,3379,7438,0.69017341040462432,0.66937945066124105,0.10305541170378042,0.11358536164336268,2.2711864406779658,2.754237288135593
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,per_100_decisions_8,score_ranked,11800,865,118,3379,7438,0.75260115606936417,0.72431332655137337,0.11237700673226307,0.12290695667184533,1.8135593220338981,2.2966101694915251
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,per_100_decisions_8,random,11800,865,118,3379,7438,0.7098265895953757,0.68667344862665314,0.1059899879164509,0.11651993785603314,2.1271186440677967,2.6101694915254239
mendeley_igt_official_v2,external,history_baseline,history,per_100_decisions_8,chronological,11800,704,80,5512,5504,0.47727272727272729,0.47576530612244899,0.058001035732780939,0.064388054548593129,3.1186440677966103,3.4830508474576272
mendeley_igt_official_v2,external,history_baseline,history,per_100_decisions_8,score_ranked,11800,704,80,5512,5504,0.4375,0.44005102040816324,0.053167616088382531,0.059554634904194721,3.3559322033898304,3.7203389830508478
mendeley_igt_official_v2,external,history_baseline,history,per_100_decisions_8,random,11800,704,80,5512,5504,0.52698863636363635,0.52040816326530615,0.064042810288278962,0.070429829104091138,2.8220338983050848,3.1864406779661012
mendeley_igt_official_v2,external,regularised_logistic,logistic,per_100_decisions_8,chronological,11800,897,118,2498,8287,0.56075808249721293,0.55960591133004922,0.086828931469014325,0.09804936992922493,3.3389830508474576,3.7881355932203391
mendeley_igt_official_v2,external,regularised_logistic,logistic,per_100_decisions_8,score_ranked,11800,897,118,2498,8287,0.60758082497212929,0.60098522167487689,0.094079060935611941,0.10529949939582255,2.9830508474576272,3.4322033898305087
mendeley_igt_official_v2,external,regularised_logistic,logistic,per_100_decisions_8,random,11800,897,118,2498,8287,0.59866220735785958,0.59310344827586203,0.092698083894355257,0.10391852235456586,3.050847457627119,3.5000000000000004
