dataset_id,cohort,model_name,model_label,capacity_basis,quantity,ci_low,ci_high
many_labs_igt,development,history_baseline,history,per_episode,delta_chronological_minus_random__action_precision,0.079911067734265678,0.11291279549184553
many_labs_igt,development,history_baseline,history,per_episode,delta_chronological_minus_random__alert_coverage,0.01341000458164562,0.019308631649270359
many_labs_igt,development,history_baseline,history,per_episode,delta_chronological_minus_random__action_coverage,0.013410004581645632,0.019308631649270359
many_labs_igt,development,history_baseline,history,per_episode,delta_chronological_minus_random__false_alerts_per_100,-0.87433709069679633,-0.61507704631946836
many_labs_igt,development,regularised_logistic,logistic,per_episode,chronological__alert_precision,0.66771786382534304,0.7068039572096354
many_labs_igt,development,regularised_logistic,logistic,per_episode,chronological__action_precision,0.65369637340531583,0.68668874771865074
many_labs_igt,development,regularised_logistic,logistic,per_episode,chronological__alert_coverage,0.10311165243674124,0.1117317837785667
many_labs_igt,development,regularised_logistic,logistic,per_episode,chronological__action_coverage,0.12648795979493918,0.13676939998170895
many_labs_igt,development,regularised_logistic,logistic,per_episode,chronological__false_alerts_per_100,2.078299581706148,2.3758403106855663
many_labs_igt,development,regularised_logistic,logistic,per_episode,score_ranked__alert_precision,0.62748731265184432,0.66617340050837981
many_labs_igt,development,regularised_logistic,logistic,per_episode,score_ranked__action_precision,0.6218890704821417,0.65329719608747505
many_labs_igt,development,regularised_logistic,logistic,per_episode,score_ranked__alert_coverage,0.096882140814277123,0.10514264874485484
many_labs_igt,development,regularised_logistic,logistic,per_episode,score_ranked__action_coverage,0.12063041335905045,0.13033797306492728
many_labs_igt,development,regularised_logistic,logistic,per_episode,score_ranked__false_alerts_per_100,2.3672414484911908,2.6613187408341723
many_labs_igt,development,regularised_logistic,logistic,per_episode,delta_chronological_minus_score_ranked__alert_precision,0.024445754110446246,0.057719799779344265
many_labs_igt,development,regularised_logistic,logistic,per_episode,delta_chronological_minus_score_ranked__action_precision,0.019449986153623852,0.045848467520967238
many_labs_igt,development,regularised_logistic,logistic,per_episode,delta_chronological_minus_score_ranked__alert_coverage,0.0037809525960169239,0.0090421855258106393
many_labs_igt,development,regularised_logistic,logistic,per_episode,delta_chronological_minus_score_ranked__action_coverage,0.0037809525960169105,0.0090421855258106393
many_labs_igt,development,regularised_logistic,logistic,per_episode,delta_chronological_minus_score_ranked__false_alerts_per_100,-0.41282401110966316,-0.1737025379029736
many_labs_igt,development,regularised_logistic,logistic,per_episode,random__alert_precision,0.63282398059708267,0.6706744346181398
many_labs_igt,development,regularised_logistic,logistic,per_episode,random__action_precision,0.6259167530975096,0.65780271953702019
many_labs_igt,development,regularised_logistic,logistic,per_episode,random__alert_coverage,0.097785738133522329,0.10576788751449358
many_labs_igt,development,regularised_logistic,logistic,per_episode,random__action_coverage,0.12144273747970086,0.13090308759742791
many_labs_igt,development,regularised_logistic,logistic,per_episode,random__false_alerts_per_100,2.3333556171283916,2.6279358845322847
many_labs_igt,development,regularised_logistic,logistic,per_episode,delta_chronological_minus_random__alert_precision,0.019414421385287019,0.051159444265356499
many_labs_igt,development,regularised_logistic,logistic,per_episode,delta_chronological_minus_random__action_precision,0.015429196013633548,0.040607463104860284
many_labs_igt,development,regularised_logistic,logistic,per_episode,delta_chronological_minus_random__alert_coverage,0.0030119274025524416,0.0080513557067234832
many_labs_igt,development,regularised_logistic,logistic,per_episode,delta_chronological_minus_random__action_coverage,0.0030119274025524416,0.0080513557067234832
