dataset_id,cohort,model_name,model_label,quintile,n_participants,mean_event_rate,n_alert_candidates,n_denied,n_alerts,denied_share,candidacy_share,denial_rate,denied_share_minus_candidacy_share
many_labs_igt,development,hist_gradient_boosting,HGB,1,124,0.2138638936049802,1662,773,889,0.062819991873222264,0.097312489021605483,0.46510228640192541,-0.034492497148383219
many_labs_igt,development,hist_gradient_boosting,HGB,2,123,0.37941948366852085,2577,1611,966,0.1309223892726534,0.15088705427718249,0.62514551804423746,-0.019964665004529092
many_labs_igt,development,hist_gradient_boosting,HGB,3,124,0.47292869269949067,2602,1634,968,0.13279154815115807,0.15235084021312723,0.62797847809377405,-0.019559292061969158
many_labs_igt,development,hist_gradient_boosting,HGB,4,123,0.54331621737270008,3281,2314,967,0.18805363673303535,0.19210726623338603,0.70527278268820481,-0.0040536295003506806
many_labs_igt,development,hist_gradient_boosting,HGB,5,123,0.68040650406504066,6957,5973,984,0.48541243396993095,0.40734235025469873,0.85855972401897374,0.078070083715232219
many_labs_igt,development,history_baseline,history,1,124,0.2138638936049802,2320,1579,741,0.067423886587813314,0.083775683385693134,0.68060344827586206,-0.01635179679787982
many_labs_igt,development,history_baseline,history,2,123,0.37941948366852085,3454,2660,794,0.11358298817199709,0.12472465966128625,0.77012159814707581,-0.011141671489289157
many_labs_igt,development,history_baseline,history,3,124,0.47292869269949067,3419,2585,834,0.1103804603100047,0.12346080236882967,0.75606902603100323,-0.013080342058824967
many_labs_igt,development,history_baseline,history,4,123,0.54331621737270008,6856,5935,921,0.25342670481233187,0.24757158848806557,0.86566511085180864,0.0058551163242663018
many_labs_igt,development,history_baseline,history,5,123,0.68040650406504066,11644,10660,984,0.45518596011785301,0.42046726609612539,0.91549295774647887,0.034718694021727614
many_labs_igt,development,regularised_logistic,logistic,1,124,0.2138638936049802,1458,639,819,0.043728187230548145,0.075360521011009457,0.43827160493827161,-0.031632333780461312
many_labs_igt,development,regularised_logistic,logistic,2,123,0.37941948366852085,2413,1454,959,0.099500444809416277,0.1247221791492221,0.6025694156651471,-0.025221734339805818
many_labs_igt,development,regularised_logistic,logistic,3,124,0.47292869269949067,3057,2069,988,0.14158625881064804,0.15800899364242518,0.67680732744520777,-0.016422734831777142
many_labs_igt,development,regularised_logistic,logistic,4,123,0.54331621737270008,4522,3538,984,0.24211318688838707,0.23373132785444772,0.78239716939407344,0.0083818590339393428
many_labs_igt,development,regularised_logistic,logistic,5,123,0.68040650406504066,7897,6913,984,0.47307192226100048,0.40817697834289551,0.87539571989363052,0.064894943918104964
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,1,12,0.29083333333333333,272,181,91,0.07788296041308089,0.097491039426523304,0.6654411764705882,-0.019608079013442414
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,2,12,0.43916666666666665,325,230,95,0.098967297762478479,0.11648745519713262,0.70769230769230773,-0.017520157434654141
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,3,12,0.51916666666666667,434,338,96,0.14543889845094665,0.15555555555555556,0.77880184331797231,-0.010116657104608906
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,4,12,0.57083333333333319,724,628,96,0.27022375215146299,0.25949820788530464,0.86740331491712708,0.010725544266158349
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,5,11,0.64772727272727271,1035,947,88,0.40748709122203097,0.37096774193548387,0.91497584541062804,0.036519349286547098
mendeley_igt_official_v2,external,history_baseline,history,1,12,0.29083333333333333,338,254,84,0.060838323353293415,0.073944432290527232,0.75147928994082835,-0.013106108937233817
mendeley_igt_official_v2,external,history_baseline,history,2,12,0.43916666666666665,130,70,60,0.016766467065868262,0.028440166265587399,0.53846153846153844,-0.011673699199719136
mendeley_igt_official_v2,external,history_baseline,history,3,12,0.51916666666666667,610,542,68,0.12982035928143712,0.13345001093852549,0.88852459016393448,-0.0036296516570883675
mendeley_igt_official_v2,external,history_baseline,history,4,12,0.57083333333333319,1503,1407,96,0.3370059880239521,0.32881207613213737,0.93612774451097802,0.0081939118918147313
mendeley_igt_official_v2,external,history_baseline,history,5,11,0.64772727272727271,1990,1902,88,0.45556886227544913,0.4353533143732225,0.95577889447236186,0.020215547902226627
mendeley_igt_official_v2,external,regularised_logistic,logistic,1,12,0.29083333333333333,298,212,86,0.073128665056916176,0.088664088069027078,0.71140939597315433,-0.015535423012110902
mendeley_igt_official_v2,external,regularised_logistic,logistic,2,12,0.43916666666666665,346,250,96,0.086236633321835121,0.1029455519190717,0.7225433526011561,-0.016708918597236583
mendeley_igt_official_v2,external,regularised_logistic,logistic,3,12,0.51916666666666667,608,512,96,0.17661262504311831,0.1808985421005653,0.84210526315789469,-0.0042859170574469918
mendeley_igt_official_v2,external,regularised_logistic,logistic,4,12,0.57083333333333319,914,818,96,0.28216626422904451,0.27194287414459983,0.89496717724288843,0.010223390084444672
mendeley_igt_official_v2,external,regularised_logistic,logistic,5,11,0.64772727272727271,1195,1107,88,0.38185581234908589,0.35554894376673607,0.92635983263598332,0.026306868582349818
