dataset_id,cohort,model_name,model_label,n_participants,n_decisions,pooled_auroc,within_participant_auroc_stratified,within_participant_auroc_macro,within_participant_auroc_median,within_participant_auroc_q1,within_participant_auroc_q3,share_participants_auroc_below_0_5,n_participants_eligible,between_participant_spearman,pooled_minus_within_auroc
many_labs_igt,development,hist_gradient_boosting,HGB,617,66525,0.80356439769351939,0.72790750331864873,0.73264913776007057,0.74448529411764708,0.61521145013329537,0.83693333333333331,0.04878048780487805,615,0.96674606718343414,0.075656894374870665
many_labs_igt,development,history_baseline,history,617,66525,0.66835083584898414,0.52132084086534936,0.53105873931889158,0.49891493055555558,0.43057805800756621,0.62014606052230437,0.50569105691056915,615,0.80001519425529755,0.14702999498363478
many_labs_igt,development,regularised_logistic,logistic,617,66525,0.74766856974590457,0.65127191023537212,0.65910968492763733,0.67708333333333337,0.53122186862505094,0.80281250000000004,0.21463414634146341,615,0.98481802718912281,0.096396659510532445
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,59,11800,0.75436153936409589,0.7007140487597957,0.70339355806821957,0.7009345794392523,0.6229555001133853,0.79328028285799468,0.033898305084745763,59,0.96302147689621076,0.053647490604300185
mendeley_igt_official_v2,external,history_baseline,history,59,11800,0.6121017797551398,0.47815706897395599,0.4826691141281062,0.469452565782841,0.44388851198552692,0.51134284093641069,0.69491525423728817,59,0.88985359331585578,0.13394471078118381
mendeley_igt_official_v2,external,regularised_logistic,logistic,59,11800,0.67492448176937025,0.60594079866870421,0.61158927047504097,0.62061403508771928,0.49638953599912294,0.74203755996457854,0.2711864406779661,59,0.99146428581498236,0.068983683100666049
