dataset_id,cohort,model_name,model_label,arm,n_decisions,n_alert,n_review,n_abstain,n_no_action,alert_precision,action_precision,alert_coverage,action_coverage,false_alerts_per_100,false_actions_per_100
many_labs_igt,development,hist_gradient_boosting,HGB,separate_capacity_8_2,66525,4774,1222,15478,45051,0.76832844574780057,0.73282188125416947,0.1208248237696818,0.14473944265103103,1.6625328823750469,2.4081172491544534
many_labs_igt,development,hist_gradient_boosting,HGB,shared_capacity_10,66525,3944,2164,14536,45881,0.77991886409736311,0.71741977734119189,0.10132419790500033,0.14434415969431452,1.3047726418639609,2.5945133408493048
many_labs_igt,development,hist_gradient_boosting,HGB,capacity_off,66525,17079,6218,10482,32746,0.78956613384858598,0.74086792290852899,0.44419922261018513,0.56854865274392252,5.4024802705749719,9.0747839158211203
many_labs_igt,development,hist_gradient_boosting,HGB,separate_capacity_no_ambiguity_gate,66525,4774,1222,4996,55533,0.76832844574780057,0.73282188125416947,0.1208248237696818,0.14473944265103103,1.6625328823750469,2.4081172491544534
many_labs_igt,development,hist_gradient_boosting,HGB,shared_capacity_no_ambiguity_gate,66525,3944,2164,4054,56363,0.77991886409736311,0.71741977734119189,0.10132419790500033,0.14434415969431452,1.3047726418639609,2.5945133408493048
many_labs_igt,development,hist_gradient_boosting,HGB,ungoverned_threshold,66525,17079,6218,0,43228,0.78956613384858598,0.74086792290852899,0.44419922261018513,0.56854865274392252,5.4024802705749719,9.0747839158211203
many_labs_igt,development,hist_gradient_boosting,HGB,separate_capacity_score_priority,66525,4774,1222,15478,45051,0.76623376623376627,0.7311541027351568,0.12049542130575136,0.1444100401871006,1.6775648252536641,2.4231491920330703
many_labs_igt,development,history_baseline,history,separate_capacity_8_2,66525,4274,871,25359,36021,0.62868507253158634,0.60136054421768703,0.088510442058106598,0.10191712234007511,2.3855693348365277,3.0830514844043591
many_labs_igt,development,history_baseline,history,shared_capacity_10,66525,4673,1232,24998,35622,0.63278407875026754,0.61795088907705331,0.097404308584228216,0.12019895908821399,2.5794813979706879,3.3912063134160091
many_labs_igt,development,history_baseline,history,capacity_off,66525,27693,5945,20285,12602,0.58000216661250137,0.5415006837505203,0.52908623756505702,0.60000658804927864,17.483652762119505,23.183765501691095
many_labs_igt,development,history_baseline,history,separate_capacity_no_ambiguity_gate,66525,4744,900,6098,54783,0.6153035413153457,0.59443656980864634,0.09615257922129257,0.11051452664865934,2.7433295753476137,3.4408117249154455
many_labs_igt,development,history_baseline,history,shared_capacity_no_ambiguity_gate,66525,5192,860,6138,54335,0.61902927580893685,0.62062128222075352,0.10586995190724027,0.12372356545226958,2.9733183013904547,3.4513340849304774
many_labs_igt,development,history_baseline,history,ungoverned_threshold,66525,46925,6998,0,12602,0.53611081513052739,0.51469688259184387,0.8286777785097833,0.91422359839251599,32.721533258173622,39.337091319052988
many_labs_igt,development,history_baseline,history,separate_capacity_score_priority,66525,4274,871,25359,36021,0.50233972859148335,0.49640427599611275,0.07072270900586336,0.084129389287831868,3.1972942502818493,3.8947763998496803
many_labs_igt,development,regularised_logistic,logistic,separate_capacity_8_2,66525,4734,1223,11787,48781,0.68694550063371351,0.66963236528453918,0.10712168127017591,0.1313986428618486,2.2277339346110483,2.9582863585118377
many_labs_igt,development,regularised_logistic,logistic,shared_capacity_10,66525,4358,1678,11332,49157,0.68724185406149607,0.67312789927104044,0.098656037947163849,0.13383622109493379,2.0488538143555055,2.9658023299511465
many_labs_igt,development,regularised_logistic,logistic,capacity_off,66525,19347,5976,7034,34168,0.6964387243500284,0.66319156498045251,0.44383687989986165,0.5531984979247645,8.8282600526117996,12.820744081172492
many_labs_igt,development,regularised_logistic,logistic,separate_capacity_no_ambiguity_gate,66525,4734,1223,4753,55815,0.68694550063371351,0.66963236528453918,0.10712168127017591,0.1313986428618486,2.2277339346110483,2.9582863585118377
many_labs_igt,development,regularised_logistic,logistic,shared_capacity_no_ambiguity_gate,66525,4358,1678,4298,56191,0.68724185406149607,0.67312789927104044,0.098656037947163849,0.13383622109493379,2.0488538143555055,2.9658023299511465
many_labs_igt,development,regularised_logistic,logistic,ungoverned_threshold,66525,19347,5976,0,41202,0.6964387243500284,0.66319156498045251,0.44383687989986165,0.5531984979247645,8.8282600526117996,12.820744081172492
many_labs_igt,development,regularised_logistic,logistic,separate_capacity_score_priority,66525,4734,1223,11787,48781,0.64617659484579637,0.63723350679872415,0.10076421371631859,0.1250411753079913,2.5178504321683577,3.2484028560691471
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,separate_capacity_8_2,11800,466,118,3379,7837,0.66952789699570814,0.63869863013698636,0.053858104609010873,0.064388054548593129,1.3050847457627119,1.7881355932203389
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,shared_capacity_10,11800,299,288,3209,8004,0.65551839464882944,0.59114139693356049,0.033833937510788885,0.059899879164508889,0.87288135593220328,2.0338983050847457
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,capacity_off,11800,2790,1215,2282,5513,0.77204301075268822,0.7298377028714107,0.37182806835836352,0.50457448644916281,5.3898305084745761,9.1694915254237284
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,separate_capacity_no_ambiguity_gate,11800,466,118,1097,10119,0.66952789699570814,0.63869863013698636,0.053858104609010873,0.064388054548593129,1.3050847457627119,1.7881355932203389
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,shared_capacity_no_ambiguity_gate,11800,299,288,927,10286,0.65551839464882944,0.59114139693356049,0.033833937510788885,0.059899879164508889,0.87288135593220328,2.0338983050847457
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,ungoverned_threshold,11800,2790,1215,0,7795,0.77204301075268822,0.7298377028714107,0.37182806835836352,0.50457448644916281,5.3898305084745761,9.1694915254237284
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,separate_capacity_score_priority,11800,466,118,3379,7837,0.74248927038626611,0.69691780821917804,0.059727257034351805,0.070257206973934061,1.0169491525423728,1.5
mendeley_igt_official_v2,external,history_baseline,history,separate_capacity_8_2,11800,396,80,5512,5812,0.4494949494949495,0.45168067226890757,0.030726739167961332,0.037113757983773518,1.847457627118644,2.2118644067796613
mendeley_igt_official_v2,external,history_baseline,history,shared_capacity_10,11800,428,147,5445,5780,0.46028037383177572,0.47130434782608693,0.034006559640945969,0.046780597272570341,1.9576271186440679,2.5762711864406778
mendeley_igt_official_v2,external,history_baseline,history,capacity_off,11800,4571,1446,4146,1637,0.57427258805513015,0.53797573541632038,0.45313309166235111,0.55877783531848779,16.491525423728813,23.559322033898304
mendeley_igt_official_v2,external,history_baseline,history,separate_capacity_no_ambiguity_gate,11800,458,82,1743,9517,0.53275109170305679,0.51666666666666672,0.042119799758329017,0.048161574313827032,1.8135593220338981,2.2118644067796613
mendeley_igt_official_v2,external,history_baseline,history,shared_capacity_no_ambiguity_gate,11800,497,93,1732,9478,0.53319919517102621,0.53389830508474578,0.045744864491627825,0.054375970999482132,1.9661016949152541,2.3305084745762712
mendeley_igt_official_v2,external,history_baseline,history,ungoverned_threshold,11800,8338,1825,0,1637,0.54833293355720791,0.52602577978943221,0.78922837907819787,0.92283790781978248,31.915254237288138,40.822033898305079
mendeley_igt_official_v2,external,history_baseline,history,separate_capacity_score_priority,11800,396,80,5512,5812,0.37373737373737376,0.38865546218487396,0.025548075263248749,0.031935094079060936,2.1016949152542375,2.4661016949152543
mendeley_igt_official_v2,external,regularised_logistic,logistic,separate_capacity_8_2,11800,462,118,2498,8722,0.50432900432900429,0.51379310344827589,0.040220956326601068,0.051441394786811666,1.9406779661016949,2.3898305084745766
mendeley_igt_official_v2,external,regularised_logistic,logistic,shared_capacity_10,11800,449,141,2475,8735,0.5033407572383074,0.51525423728813557,0.039012601415501467,0.052477127567754189,1.8898305084745763,2.4237288135593218
mendeley_igt_official_v2,external,regularised_logistic,logistic,capacity_off,11800,3361,1115,1501,5823,0.65873252008330851,0.63739946380697055,0.38218539616778874,0.49249093733816673,9.7203389830508478,13.754237288135593
mendeley_igt_official_v2,external,regularised_logistic,logistic,separate_capacity_no_ambiguity_gate,11800,462,118,997,10223,0.50432900432900429,0.51379310344827589,0.040220956326601068,0.051441394786811666,1.9406779661016949,2.3898305084745766
mendeley_igt_official_v2,external,regularised_logistic,logistic,shared_capacity_no_ambiguity_gate,11800,449,141,974,10236,0.5033407572383074,0.51525423728813557,0.039012601415501467,0.052477127567754189,1.8898305084745763,2.4237288135593218
mendeley_igt_official_v2,external,regularised_logistic,logistic,ungoverned_threshold,11800,3361,1115,0,7324,0.65873252008330851,0.63739946380697055,0.38218539616778874,0.49249093733816673,9.7203389830508478,13.754237288135593
mendeley_igt_official_v2,external,regularised_logistic,logistic,separate_capacity_score_priority,11800,462,118,2498,8722,0.60173160173160178,0.5913793103448276,0.047988952183669949,0.059209390643880547,1.5593220338983051,2.0084745762711864
