model_name,outer_fold,prompt_threshold,action_precision,false_actions_per_100,n_calibration_participants,n_calibration_decisions,min_episode_length,precision_margin,false_limit_slack,max_false_per_100_implied_by_precision_and_capacity
history_baseline,0,0.43,0.6020812685827552,3.0193645422071818,493,53190,95,0.002081268582755258,5.980635457792818,3.7074638089866516
regularised_logistic,0,0.61,0.6835496914237071,2.7956382778717805,493,53190,95,0.08354969142370716,6.204361722128219,3.7074638089866516
hist_gradient_boosting,0,0.6,0.7292920905127673,2.4515886444820456,493,53190,95,0.12929209051276735,6.548411355517954,3.7074638089866516
history_baseline,1,0.39,0.6020809248554914,3.2386149792999626,493,53140,95,0.002080924855491384,5.761385020700038,3.710952201731276
regularised_logistic,1,0.59,0.6688963210702341,2.980805419646217,493,53140,95,0.06889632107023413,6.019194580353783,3.710952201731276
hist_gradient_boosting,1,0.59,0.7239314474499278,2.515995483628152,493,53140,95,0.12393144744992779,6.484004516371848,3.710952201731276
history_baseline,2,0.43,0.607905720599067,2.999624342599549,494,53240,95,0.007905720599067023,6.0003756574004505,3.711495116453794
regularised_logistic,2,0.59,0.6749116607773852,2.937640871525169,494,53240,95,0.0749116607773852,6.0623591284748315,3.711495116453794
hist_gradient_boosting,2,0.61,0.7345743568291152,2.3835462058602555,494,53240,95,0.13457435682911523,6.616453794139744,3.711495116453794
history_baseline,3,0.43,0.6081582200247219,2.963170686109553,496,53490,95,0.008158220024721885,6.036829313890447,3.7091045055150493
regularised_logistic,3,0.59,0.6609039783378463,3.04355954383997,496,53490,95,0.06090397833784633,5.9564404561600295,3.7091045055150493
hist_gradient_boosting,3,0.61,0.7314118629908104,2.404187698635259,496,53490,95,0.13141186299081042,6.595812301364742,3.7091045055150493
history_baseline,4,0.43,0.6063460585027268,2.9939668174962293,492,53040,95,0.006346058502726848,6.006033182503771,3.7104072398190047
regularised_logistic,4,0.6,0.6707471506964964,2.9411764705882355,492,53040,95,0.0707471506964964,6.0588235294117645,3.7104072398190047
hist_gradient_boosting,4,0.6,0.7368859283930058,2.383107088989442,492,53040,95,0.13688592839300584,6.616892911010558,3.7104072398190047
