scope,model_name,outer_fold,prompt_threshold,n_decisions,n_positive,n_alert,n_human_review,n_abstain,n_no_action,n_action_routes,n_true_action_routes,n_false_action_routes,n_true_alerts,n_false_alerts,n_auto_capacity_blocks,n_review_capacity_overflow_abstentions,alert_rate,human_review_rate,abstain_rate,no_action_rate,action_route_rate,event_coverage_by_action,action_precision,false_actions_per_100,event_coverage_by_alert,alert_precision,false_alerts_per_100,auto_capacity_blocks_per_100,route_rate_sum
global_development_oof,hist_gradient_boosting,-1,0.3,66525,30358,4922,1170,13265,47168,6092,3532,2560,3193,1729,30227,2783,0.07398722284855318,0.01758737316798196,0.1993987222848553,0.7090266816986095,0.09157459601653514,0.11634495026022795,0.5797767564018385,3.8481773769259675,0.10517820673298636,0.648720032507111,2.59902292371289,45.43705373919579,1.0
global_development_oof,hist_gradient_boosting,-1,0.31,66525,30358,4921,1175,13243,47186,6096,3563,2533,3205,1716,29597,2761,0.07397219090567456,0.017662532882375046,0.19906801954152575,0.7092972566704246,0.0916347237880496,0.11736609789841228,0.5844816272965879,3.8075911311537016,0.10557348968970288,0.6512903881324934,2.579481397970688,44.49004133784292,1.0
global_development_oof,hist_gradient_boosting,-1,0.32,66525,30358,4919,1173,13271,47162,6092,3579,2513,3223,1696,28913,2789,0.07394212701991733,0.017632468996617814,0.19948891394212703,0.7089364900413379,0.09157459601653514,0.11789314184070097,0.5874917925147735,3.7775272453964677,0.10616641412477765,0.6552144744866842,2.5494175122134535,43.46185644494551,1.0
global_development_oof,hist_gradient_boosting,-1,0.33,66525,30358,4918,1178,13396,47033,6096,3618,2478,3262,1656,28111,2914,0.07392709507703871,0.0177076287110109,0.20136790680195416,0.7069973694099962,0.0916347237880496,0.11917781145002965,0.593503937007874,3.7249154453213076,0.10745108373410633,0.6632777551850345,2.4892897406989856,42.25629462608042,1.0
global_development_oof,hist_gradient_boosting,-1,0.34,66525,30358,4918,1174,13461,46972,6092,3625,2467,3278,1640,27407,2979,0.07392709507703871,0.01764750093949643,0.20234498308906426,0.7060804208944006,0.09157459601653514,0.11940839317478094,0.595042678923178,3.708380308154829,0.10797812767639502,0.6665311102074014,2.465238632093198,41.19804584742578,0.9999999999999999
global_development_oof,hist_gradient_boosting,-1,0.35,66525,30358,4916,1171,13538,46900,6087,3683,2404,3296,1620,26658,3056,0.07389703119128148,0.01760240511086058,0.20350244269071777,0.7049981210071402,0.09149943630214205,0.12131892746557744,0.605059963857401,3.6136790680195414,0.10857105211146979,0.6704637917005696,2.435174746335964,40.07215332581736,1.0
global_development_oof,hist_gradient_boosting,-1,0.36,66525,30358,4914,1172,13565,46874,6086,3720,2366,3311,1603,25980,3083,0.07386696730552424,0.017617437053739197,0.20390830514844044,0.7046072904922961,0.09148440435926343,0.12253771658212004,0.6112389089714098,3.5565576850807967,0.10906515580736544,0.6737891737891738,2.4096204434423147,39.05298759864713,1.0
global_development_oof,hist_gradient_boosting,-1,0.37,66525,30358,4911,1174,13815,46625,6085,3766,2319,3329,1582,25100,3333,0.07382187147688839,0.01764750093949643,0.2076662908680947,0.7008643367155205,0.09146937241638482,0.12405296791620002,0.618898931799507,3.4859075535512964,0.10965808024244021,0.6778660150682142,2.378053363397219,37.73017662532882,1.0
global_development_oof,hist_gradient_boosting,-1,0.38,66525,30358,4911,1166,13921,46527,6077,3780,2297,3357,1554,24316,3439,0.07382187147688839,0.017527245396467495,0.2092596768132281,0.699391206313416,0.09134911687335588,0.12451413136570262,0.6220174428171795,3.452837279218339,0.11058040714144542,0.6835675015271838,2.3359639233370912,36.55167230364525,1.0
global_development_oof,hist_gradient_boosting,-1,0.39,66525,30358,4910,1140,13934,46541,6050,3819,2231,3372,1538,23527,3452,0.07380683953400977,0.01713641488162345,0.20945509207065013,0.6996016535137166,0.09094325441563322,0.1257988009750313,0.6312396694214876,3.3536264562194664,0.11107451083734106,0.6867617107942974,2.311912814731304,35.36565201052236,1.0
