dataset_id,evaluation_scope,model_name,aggregate_level,outer_fold,n_participants,n_decisions,n_positive,positive_prevalence,auroc,average_precision,brier_score,balanced_accuracy_at_0_5,f1_at_0_5,ece_10_bin
many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,pooled,all,617,66525,30358,0.45633972190905675,0.8035643976935193,0.7612322353421188,0.17975258402830155,0.7181992131708423,0.6954420002286349,0.011651597170132017
many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,outer_fold,0,124,13335,6299,0.47236595425571803,0.7881138311115556,0.7509358990077717,0.18680685204420233,0.7046408347300767,0.6902961562696912,0.008873467529133459
many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,outer_fold,1,124,13385,6080,0.4542398206948076,0.8042982343564249,0.7566242780430974,0.17955643374431643,0.7202723103317843,0.6979267897635244,0.015706551213521797
many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,outer_fold,2,123,13285,6043,0.4548739179525781,0.7979959100989534,0.7575020257814382,0.18210494927041754,0.7149620507142429,0.691064248789694,0.013496811619710277
many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,outer_fold,3,121,13035,5594,0.4291522823168393,0.8282466930774266,0.7756310596610337,0.16762590013439221,0.7387545100950743,0.7030141843971631,0.02184049739714786
many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,outer_fold,4,125,13485,6342,0.47030033370411567,0.7974206520284606,0.7661885483123618,0.182376014497319,0.7120174483927539,0.6956453387832102,0.009825788302024295
many_labs_igt,participant_grouped_outer_cv,history_baseline,pooled,all,617,66525,30358,0.45633972190905675,0.668350835848984,0.6147466886045403,0.22823925370976345,0.6175563561238775,0.6275569278270938,0.05795757303052474
many_labs_igt,participant_grouped_outer_cv,history_baseline,outer_fold,0,124,13335,6299,0.47236595425571803,0.645407520671816,0.5967727149702211,0.23507222621844517,0.6034420557835101,0.6341794488937152,0.052355707798267447
many_labs_igt,participant_grouped_outer_cv,history_baseline,outer_fold,1,124,13385,6080,0.4542398206948076,0.6712330572967327,0.6105844266354955,0.2271346596987271,0.6194342375445802,0.6158418784366176,0.0560456077766647
many_labs_igt,participant_grouped_outer_cv,history_baseline,outer_fold,2,123,13285,6043,0.4548739179525781,0.6631098022854985,0.6157248484240427,0.22776054720623454,0.6108066177481708,0.6145635326802164,0.05305775309240385
many_labs_igt,participant_grouped_outer_cv,history_baseline,outer_fold,3,121,13035,5594,0.4291522823168393,0.6828044062222868,0.6092169610984319,0.22467059516071455,0.6322410950892583,0.6182210907968835,0.07384198053649314
many_labs_igt,participant_grouped_outer_cv,history_baseline,outer_fold,4,125,13485,6342,0.47030033370411567,0.674200699208974,0.6326879888736788,0.22649986791226123,0.6182998525459954,0.651282729436657,0.05596995469781203
many_labs_igt,participant_grouped_outer_cv,regularised_logistic,pooled,all,617,66525,30358,0.45633972190905675,0.7476685697459046,0.6947896120557608,0.20220545685774874,0.6668227379372125,0.6349206349206349,0.040246407278104177
many_labs_igt,participant_grouped_outer_cv,regularised_logistic,outer_fold,0,124,13335,6299,0.47236595425571803,0.7340386785453099,0.6837381904048045,0.20758112189061817,0.6582666144160876,0.6380162653484293,0.043724817495531726
many_labs_igt,participant_grouped_outer_cv,regularised_logistic,outer_fold,1,124,13385,6080,0.4542398206948076,0.7480498216794553,0.6974086382842366,0.201828465590804,0.6644517318707446,0.631578947368421,0.04452563088021196
many_labs_igt,participant_grouped_outer_cv,regularised_logistic,outer_fold,2,123,13285,6043,0.4548739179525781,0.7409974328780533,0.6936978218343341,0.20484911019333696,0.6608843584980566,0.6270505523937061,0.04761821796718644
many_labs_igt,participant_grouped_outer_cv,regularised_logistic,outer_fold,3,121,13035,5594,0.4291522823168393,0.7730201455598005,0.691598831128311,0.19104964353298878,0.6917860377695553,0.6442097596504006,0.022820065671443644
many_labs_igt,participant_grouped_outer_cv,regularised_logistic,outer_fold,4,125,13485,6342,0.47030033370411567,0.7411585543123574,0.7038716958112439,0.20544287821627286,0.6576584693471694,0.6344026108413595,0.051454587418149504
mendeley_igt_official_v2,frozen_external_official_v2_same_task,hist_gradient_boosting,pooled,all,59,11800,5793,0.4909322033898305,0.754361539364096,0.7318021948422422,0.20148031515547007,0.6843931949925156,0.6728823995074324,0.024712258855472406
mendeley_igt_official_v2,frozen_external_official_v2_same_task,history_baseline,pooled,all,59,11800,5793,0.4909322033898305,0.6121017797551398,0.5721194215525633,0.23958647174662412,0.5860497323581089,0.6198776047718646,0.02069533027350666
mendeley_igt_official_v2,frozen_external_official_v2_same_task,regularised_logistic,pooled,all,59,11800,5793,0.4909322033898305,0.6749244817693701,0.6490796583032852,0.22943721251720237,0.6159962091525018,0.5889202219594287,0.059521681486709395
