dataset_id,evaluation_scope,model_name,cap_label,automated_alert_cap,aggregate_level,outer_fold,n_participants,n_decisions,n_positive,n_alert,n_human_review,n_abstain,n_no_action,n_action_routes,n_true_action_routes,n_false_action_routes,n_true_alerts,n_false_alerts,n_auto_capacity_blocks,n_review_capacity_overflow_abstentions,alert_rate,human_review_rate,abstain_rate,no_action_rate,action_route_rate,event_coverage_by_action,action_precision,false_actions_per_100,event_coverage_by_alert,alert_precision,false_alerts_per_100,auto_capacity_blocks_per_100,route_rate_sum
many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,2,2,pooled,all,617,66525,30358,1227,1222,15478,48598,2449,1635,814,909,318,15852,4996,0.018444193912063134,0.01836903419767005,0.23266441187523487,0.7305223600150319,0.036813228109733184,0.053857302852625334,0.6676194365046958,1.2236001503194287,0.029942683971276106,0.7408312958435208,0.47801578354002255,23.828635851183765,0.9999999999999999
many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,2,2,outer_fold,0,124,13335,6299,248,245,3263,9579,493,306,187,176,72,3306,1032,0.018597675290588676,0.01837270341207349,0.2446944131983502,0.7183352080989877,0.03697037870266217,0.048579139545959674,0.6206896551724138,1.4023247094113236,0.02794094300682648,0.7096774193548387,0.5399325084364455,24.791901012373454,1.0
many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,2,2,outer_fold,1,124,13385,6080,246,246,3185,9708,492,331,161,172,74,3418,1099,0.018378782218901754,0.018378782218901754,0.23795293238700038,0.7252895031751961,0.03675756443780351,0.05444078947368421,0.6727642276422764,1.2028389988793426,0.028289473684210528,0.6991869918699187,0.5528576765035488,25.536047814717968,1.0
many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,2,2,outer_fold,2,123,13285,6043,246,242,3056,9741,488,325,163,182,64,2975,987,0.01851712457659014,0.018216033120060218,0.23003387278885962,0.73323296951449,0.03673315769665036,0.05378123448618236,0.6659836065573771,1.2269476853594279,0.030117491312262122,0.7398373983739838,0.4817463304478735,22.39367707941287,1.0
many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,2,2,outer_fold,3,121,13035,5594,240,241,2698,9856,481,333,148,188,52,2844,827,0.018411967779056387,0.018488684311469123,0.2069812044495589,0.7561181434599156,0.03690065209052551,0.05952806578476939,0.6923076923076923,1.1354046797084771,0.03360743653914909,0.7833333333333333,0.3989259685462217,21.818181818181817,1.0
many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,2,2,outer_fold,4,125,13485,6342,247,248,3276,9714,495,340,155,191,56,3309,1051,0.01831664812754913,0.01839080459770115,0.24293659621802002,0.7203559510567297,0.03670745272525028,0.053610848312835066,0.6868686868686869,1.1494252873563218,0.030116682434563228,0.7732793522267206,0.41527623285131626,24.53837597330367,1.0
many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,4,4,pooled,all,617,66525,30358,2444,1222,15478,47381,3666,2583,1083,1857,587,14635,4996,0.0367380683953401,0.01836903419767005,0.23266441187523487,0.712228485531755,0.055107102593010146,0.08508465643323013,0.704582651391162,1.6279594137542277,0.061170037551880885,0.7598199672667758,0.8823750469748215,21.999248402856068,1.0
many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,4,4,outer_fold,0,124,13335,6299,495,245,3263,9332,740,502,238,372,123,3059,1032,0.03712035995500562,0.01837270341207349,0.2446944131983502,0.6998125234345707,0.05549306336707911,0.0796951897126528,0.6783783783783783,1.7847769028871392,0.059056993173519604,0.7515151515151515,0.922384701912261,22.939632545931758,1.0
many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,4,4,outer_fold,1,124,13385,6080,491,246,3185,9463,737,515,222,356,135,3173,1099,0.036682853940978706,0.018378782218901754,0.23795293238700038,0.7069854314531192,0.05506163615988046,0.08470394736842106,0.6987788331071914,1.6585730295106462,0.05855263157894737,0.725050916496945,1.0085917071348525,23.70564064251027,1.0
many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,4,4,outer_fold,2,123,13285,6043,489,242,3056,9498,731,520,211,377,112,2732,987,0.03680843056078284,0.018216033120060218,0.23003387278885962,0.7149416635302973,0.05502446368084306,0.08604997517789177,0.7113543091655267,1.5882574331953332,0.06238623200397154,0.7709611451942741,0.8430560782837787,20.564546480993602,1.0
