metric_family,dataset_id,evaluation_scope,model_name,cap_label,automated_alert_cap,metric,estimate,ci_low,ci_high,confidence_level,bootstrap_unit,bootstrap_method,bootstrap_replicates,bootstrap_seed,finite_replicates
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,2,2.0,alert_rate,0.018444193912063134,0.01816156733325408,0.01873105117860038,0.95,participant,cluster percentile; participants sampled with replacement,2000,21260813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,2,2.0,human_review_rate,0.01836903419767005,0.018109114630576666,0.018633919457488886,0.95,participant,cluster percentile; participants sampled with replacement,2000,21260813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,2,2.0,abstain_rate,0.23266441187523487,0.2209325728220232,0.24521969846184147,0.95,participant,cluster percentile; participants sampled with replacement,2000,21260813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,2,2.0,no_action_rate,0.7305223600150319,0.7179243894648746,0.7422791657397705,0.95,participant,cluster percentile; participants sampled with replacement,2000,21260813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,2,2.0,action_route_rate,0.036813228109733184,0.03628006927311024,0.03735961989968692,0.95,participant,cluster percentile; participants sampled with replacement,2000,21260813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,2,2.0,event_coverage_by_action,0.053857302852625334,0.0516211323904947,0.05631495250176218,0.95,participant,cluster percentile; participants sampled with replacement,2000,21260813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,2,2.0,action_precision,0.6676194365046958,0.6491645781119465,0.6860761068270956,0.95,participant,cluster percentile; participants sampled with replacement,2000,21260813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,2,2.0,false_actions_per_100,1.2236001503194287,1.1548399328741874,1.2952023450812047,0.95,participant,cluster percentile; participants sampled with replacement,2000,21260813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,2,2.0,event_coverage_by_alert,0.029942683971276106,0.02855659209292696,0.031391395154142035,0.95,participant,cluster percentile; participants sampled with replacement,2000,21260813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,2,2.0,alert_precision,0.7408312958435208,0.7155565233351577,0.7638447792254796,0.95,participant,cluster percentile; participants sampled with replacement,2000,21260813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,2,2.0,false_alerts_per_100,0.47801578354002255,0.4339609048467755,0.5254958184143115,0.95,participant,cluster percentile; participants sampled with replacement,2000,21260813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,2,2.0,auto_capacity_blocks_per_100,23.828635851183765,22.331622221424787,25.24608282766066,0.95,participant,cluster percentile; participants sampled with replacement,2000,21260813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,4,4.0,alert_rate,0.0367380683953401,0.036143836983190826,0.037344660536114946,0.95,participant,cluster percentile; participants sampled with replacement,2000,21270813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,4,4.0,human_review_rate,0.01836903419767005,0.01810171509868141,0.018644723485258984,0.95,participant,cluster percentile; participants sampled with replacement,2000,21270813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,4,4.0,abstain_rate,0.23266441187523487,0.22051240843175363,0.24458036274238285,0.95,participant,cluster percentile; participants sampled with replacement,2000,21270813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,4,4.0,no_action_rate,0.712228485531755,0.7000371027196977,0.7247440164121267,0.95,participant,cluster percentile; participants sampled with replacement,2000,21270813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,4,4.0,action_route_rate,0.055107102593010146,0.05429345452942927,0.05597146586122788,0.95,participant,cluster percentile; participants sampled with replacement,2000,21270813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,4,4.0,event_coverage_by_action,0.08508465643323013,0.08203423888077065,0.08865964779247824,0.95,participant,cluster percentile; participants sampled with replacement,2000,21270813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,4,4.0,action_precision,0.704582651391162,0.6892453536970343,0.7201361341507393,0.95,participant,cluster percentile; participants sampled with replacement,2000,21270813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,4,4.0,false_actions_per_100,1.6279594137542277,1.5346894125863018,1.718222027892538,0.95,participant,cluster percentile; participants sampled with replacement,2000,21270813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,4,4.0,event_coverage_by_alert,0.061170037551880885,0.0588780360168111,0.06361901267693951,0.95,participant,cluster percentile; participants sampled with replacement,2000,21270813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,4,4.0,alert_precision,0.7598199672667758,0.7399664155826852,0.778050778050778,0.95,participant,cluster percentile; participants sampled with replacement,2000,21270813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,4,4.0,false_alerts_per_100,0.8823750469748215,0.8120309330146499,0.9568610663259978,0.95,participant,cluster percentile; participants sampled with replacement,2000,21270813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,4,4.0,auto_capacity_blocks_per_100,21.999248402856068,20.596653004789268,23.514740439353638,0.95,participant,cluster percentile; participants sampled with replacement,2000,21270813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,6,6.0,alert_rate,0.05452085682074408,0.05362618298488261,0.05547381799979883,0.95,participant,cluster percentile; participants sampled with replacement,2000,21280813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,6,6.0,human_review_rate,0.01836903419767005,0.018098405775083114,0.018644723485258984,0.95,participant,cluster percentile; participants sampled with replacement,2000,21280813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,6,6.0,abstain_rate,0.23266441187523487,0.22073814988091134,0.2446381893910379,0.95,participant,cluster percentile; participants sampled with replacement,2000,21280813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,6,6.0,no_action_rate,0.694445697106351,0.6824151734552907,0.7064369850808243,0.95,participant,cluster percentile; participants sampled with replacement,2000,21280813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,6,6.0,action_route_rate,0.07288989101841413,0.07177391373515923,0.0740464853053987,0.95,participant,cluster percentile; participants sampled with replacement,2000,21280813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,6,6.0,event_coverage_by_action,0.11591672705711839,0.11169392710099298,0.12031733195246153,0.95,participant,cluster percentile; participants sampled with replacement,2000,21280813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,6,6.0,action_precision,0.7257166426067231,0.7117598442208781,0.7402732437604691,0.95,participant,cluster percentile; participants sampled with replacement,2000,21280813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,6,6.0,false_actions_per_100,1.999248402856069,1.89176297010679,2.103299091022519,0.95,participant,cluster percentile; participants sampled with replacement,2000,21280813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,6,6.0,event_coverage_by_alert,0.09200210817576915,0.08872246090422102,0.09551682864244394,0.95,participant,cluster percentile; participants sampled with replacement,2000,21280813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,6,6.0,alert_precision,0.7700578990901572,0.7544422160234536,0.7863446140881737,0.95,participant,cluster percentile; participants sampled with replacement,2000,21280813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,6,6.0,false_alerts_per_100,1.2536640360766629,1.1609995390330035,1.3442144762272863,0.95,participant,cluster percentile; participants sampled with replacement,2000,21280813,2000
